osm_type,osm_id,name,lat,lon,leisure,golf,operator,website,phone,email,addr_street,addr_city,addr_county,addr_postcode,is_in
relation,3368388,Alnmouth Golf Club,55.3966602,-1.6009195,golf_course,,,https://www.alnmouthgolfclub.com/,,,,,,,
way,126365706,Alnwick Castle Golf Club,55.4003844,-1.7168425,golf_course,,,https://www.alnwickcastlegolfclub.co.uk/,+44 1665 602632,,,Alnwick,,NE66 2AB,
way,94285123,Alresford Golf Club,51.0764169,-1.1642899,golf_course,,,,,,,,,,
way,148866781,Alsager Golf and Country Club,53.0856074,-2.2893084,golf_course,,,,,,,,,,
way,340087141,Alston Moor Golf Course,54.7887018,-2.4317251,golf_course,,,https://alstonmoorgolfclub.org.uk/,,,,,,,
way,666514487,Alton Golf Club,51.1734089,-0.9833896,golf_course,,,,,,,,,,
way,8024949,Altrincham Municipal Golf Course,53.3871643,-2.3341171,golf_course,,Trafford Leisure,https://altrinchamgolfcourse.co.uk/,+44 161 749 2570,,Stockport Road,Altrincham,,WA15 7LP,
way,1381386032,Alva Golf Club,56.1562539,-3.7994766,,clubhouse,,,,,Beauclerc Street,Alva,Clackmannanshire,FK12 5LD,
way,120408561,Alva Golf Course,56.1564099,-3.8043039,golf_course,,,https://www.alvagolfclub.co.uk/,+44 1259760431,,Beauclere Street,Alva,,FK12 5LH,
way,164023842,Alwoodley Golf Club,53.8640153,-1.5120755,golf_course,,,https://alwoodleygolfclub.com/,,,,,,,
way,244454007,Alyth Golf Club,56.6216644,-3.2059108,,clubhouse,,,,,,,,,
way,251141076,Alyth Golf Course,56.6222431,-3.1999861,golf_course,,,https://www.alythgolfclub.co.uk/,+44 1828 632268,,,"Pitcrocknie, Alyth",,PH11 8HF,
relation,13331407,Ampfield Golf & Country Club,51.004717,-1.4284674,golf_course,,Ampfield Par-Three Golf & Country Club Ltd.,https://www.ampfieldgolf.com/,+44 1794 368480,clubhouse@ampfieldgolf.com,Winchester Road,Ampfield,,SO51 9BQ,
way,993143878,Ampfield Golf Clubhouse,51.0065074,-1.4292315,,clubhouse,Ampfield Golf Club,,,,,,,,
way,177524682,Andover Golf Club,51.1980299,-1.4771436,golf_course,,,,,,,,,,
way,1329448197,Andover Golf Club House,51.1996036,-1.4794037,,clubhouse,,,,,,,,,
way,517914286,Anglesey Golf Course,53.2425012,-4.5139929,golf_course,,,https://angleseygolfclub.co.uk/,,,Station Road,,,LL64 5QX,
way,43653383,Annanhill Golf Club,55.6060518,-4.5231353,golf_course,,,https://annanhillgolfclub.co.uk/,+44 1563 521512,,Irvine Road,Kilmarnock,,KA1 2RT,
way,40952557,Anstruther Golf Club,56.2169305,-2.711618,golf_course,,Anstruther Golf Club,https://www.anstruthergolf.co.uk/,,,,Anstruther,,KY10 3DZ,
way,547721161,Anstruther Golf Club,56.2190281,-2.7053796,,clubhouse,,https://www.anstruthergolf.co.uk/,+44 1333 310956,clubhouse@anstruthergolf.co.uk,Shore Road,Anstruther,,KY10 3DZ,
way,55584529,Ansty Golf Centre,52.4496841,-1.4021544,golf_course,,,,,,,,,,
way,971619991,Antonine Par 3 Academy Course,56.0081975,-3.8248961,golf_course,,,https://www.falkirkgolfclub.co.uk/,,,,,,,
way,268081878,Antrobus Golf Course,53.3257892,-2.5458307,golf_course,,,,,,,,,,
way,29179539,Appleby Golf Club,54.5715975,-2.4421701,golf_course,,,https://www.applebygolfclub.co.uk/,,,Brackenber Moor,Appleby,,CA16 6LP,
way,42334896,Aqualate Golf Centre,52.767937,-2.3542656,golf_course,,,https://www.aqualategolf.co.uk/,,,Stafford Road,Newport,,TF10 9BY,
way,26576485,Aquarius Golf Club,51.454989,-0.0529638,golf_course,,,,,,,,,,
way,264882305,Arbroath Golf Course,56.5363672,-2.6304408,golf_course,,Arbroath Artisan Golf Club,https://www.arbroathgolfcourse.co.uk/,,,,,,,
way,126776276,Arbroath West Links Pitch & Putt,56.5521085,-2.5946578,golf_course,,,https://www.angus.gov.uk/services/view_service_detail.cfm?serviceid=1316,+44 7813 859992,,,,,,
way,161228170,Archerfield Links,56.0556716,-2.792248,golf_course,,,https://www.archerfieldgolfclub.com/,+44 1620 89 70 50,andrew@archerfieldgolfclub.com,,Dirleton,,EH39 5HQ,
way,89074125,Arcot Hall Golf Club,55.0740276,-1.6147387,golf_course,,,https://www.arcothall.co.uk/,,,Arcot Lane,Cramlington,Northumberland,NE23 7QP,
way,483958112,Ardeer Golf Club,55.6578657,-4.75388,golf_course,,,https://ardeergolfclub.co.uk/,,,,,,,
way,216527382,"Ardencote Manor Hotel, Country Club & Spa",52.2888107,-1.7050914,golf_course,,,https://ardencote.com/,+44 1926 843111,hotel@ardencote.com,Lye Green Road,Claverdon,,CV35 8LT,
way,1381984507,Ardfin Golf Course,55.7998414,-6.0206841,golf_course,,,https://www.ardfin.com/golf/,,,,,,,
way,977785938,Ardglass Golf Club,54.258857,-5.6045867,,clubhouse,,,,,,,,,
way,793224207,Ardglass Golf Club,54.2530594,-5.6121946,golf_course,,,https://www.ardglassgolfclub.com/,,,Castle Place,Ardglass,,BT30 7TP,
way,1292189673,Ardminnan Golf Club,54.415244,-5.4718544,golf_course,,,,,,Ardminnan Road,Portaferry,,BT22 1QJ,
way,24012861,Arkley Golf Club,51.65092,-0.2377625,golf_course,,,https://www.arkleygolfclub.co.uk/,+44 20 8440 8473;+44 20 8449 0394,office@arkleygolfclub.co.uk,,,,,
way,456756633,Armagh Golf Club,54.3376691,-6.6467383,golf_course,,,,,,,,,,
way,79824002,Army Golf Course,51.2694615,-0.7690921,golf_course,,,,,,,,,,
way,1464367588,Arndean,56.1804499,-3.6021328,golf_course,,Muckhart Golf Club,https://www.muckhartgolf.com/,+44 1259 781423,,Drumburn Road,Muckhart,,FK14 7JH,
relation,4047638,Arrowe Park Golf Course,53.361981,-3.0960285,golf_course,,,https://www.arroweparkgolfclub.co.uk/,+44 151 677 1527;+44 151 678 5285,contact@arroweparkgolfclub.co.uk,,,,,
way,65134423,Arscott,52.6713268,-2.8426065,golf_course,,,https://www.arscottgolfclub.co.uk/,,,,Pontesbury,,SY5 0XP,
way,1485438997,Ash Valley Golf Club,51.8674431,0.0718436,golf,clubhouse,,,,,,,,,
way,126563859,Ash Valley Golf Club,51.8728426,0.071164,golf_course,,,https://www.ashvalley.co.uk/,+44 1279 843253,enquiries@ashvalley.co.uk,Little Hadham Road,Much Hadham,,SG10 6HD,
way,189245720,Ashbourne Golf Club,53.0040048,-1.7425535,golf_course,,,https://www.ashbournegolfclub.co.uk/,+44 1335 342078;+44 1335 347960,,Wyaston Road,Ashbourne,,DE6 1NB,
way,240230569,Ashburnham Golf Club,51.6810536,-4.2776274,golf_course,,,https://ashburnhamgolfclub.co.uk/,+44 1554 832269,admin@ashburnhamgolfclub.co.uk,Cliff Terrace,Burry Port,,SA16 0HN,
relation,14162985,Ashbury Golf Course,50.7407466,-4.0744326,golf_course,,,,,,,,,,
way,101202001,Ashby Decoy Golf Club,53.5617447,-0.689438,golf_course,,,,,,,,,,
way,102712809,Ashdown Park,51.0710952,0.0365432,golf_course,,,https://www.ashdownpark.com/sussex-golf-course,+44 1342 824988,,Colemans Hatch Road,Forest Row,,RH18 5JR,
way,285599388,Ashfield Golf Course,54.1100938,-6.579572,golf_course,,,,,,,,,,
way,23514649,Ashford Golf Club,51.167283,0.8612081,golf_course,,,,,,,,,,
way,250363948,Ashford Manor Golf Club,51.4267694,-0.4623698,golf_course,,,https://www.amgc.co.uk/,+44 1784 424644,,Fordbridge Road,Ashford,,TW15 3RT,
way,196892658,Ashley Wood Golf Club,50.8517029,-2.1125535,golf_course,,,,,,,,,,
way,1245335146,Ashludie Course,56.4859625,-2.8012555,golf_course,,Monifieth Golf Links,,,,,Monifieth,,,
node,321787508,Ashridge Golf Club,51.8088206,-0.5748127,golf_course,,,,,,,,,,
way,285071056,Ashton & Lea Golf Club,53.7716718,-2.7745935,golf_course,,,https://www.ashtonleagolfclub.co.uk/,+44 1772 735282,,Tudor Avenue,Preston,,PR4 0XA,
way,23352627,Ashton Court Golf Course,51.4500829,-2.6478541,golf_course,,,,,,,,,,
way,181597488,Ashton Golf Centre,54.0084599,-2.8279734,golf_course,,,https://www.facebook.com/AshtonGolfCentre,+44 1524 752221,,Ashton With Stodday,Lancaster,,LA2 0AJ,
relation,19515552,Ashton on Mersey Golf Club,53.4359403,-2.3405841,golf_course,,,,,,,,,,
way,32209659,Ashton-in-Makerfield Golf Club,53.4831648,-2.6541919,golf_course,,,https://www.ashton-in-makerfieldgolfclub.co.uk/,+441942 727267,,Liverpool Road,Wigan,,WN4 0YT,
way,33548286,Ashton-in-Makerfield Golf Club,53.4826565,-2.6601001,,clubhouse,,https://www.ashton-in-makerfieldgolfclub.co.uk/contact_us,+441942 727267,,Liverpool Road,Wigan,,WN4 0YT,
relation,12702267,Ashton-u-lyne Golf Club,53.5065114,-2.0714499,,clubhouse,,,,,,,,,
way,219942069,Ashton-under-Lyne Golf Club,53.5076977,-2.0645847,golf_course,,,https://www.ashtongolfclub.co.uk/,+44 161 330 1537,,Gorsey Lane,Ashton-under-Lyne,,OL6 9HT,
way,533920226,Ashwoods Golf Centre,54.326897,-7.6785496,golf_course,,,,,,Sligo Road,Enniskillen,,,
way,5202628,Aspley Guise & Woburn Sands Golf Club,52.0164912,-0.6396976,golf_course,,,https://www.aspleyguisegolfclub.co.uk/,+44 1908 583596,info@aspleyguisegolfclub.co.uk,West Hill,Aspley Guise,,MK17 8DX,
way,182331996,Asta Golf Club,60.1592266,-1.2585864,golf_course,,,https://www.astagolfcourse.com/,+44 793 6832971,mail@astagolfcourse.com,,,,,
way,380857111,Asta Golf Club House,60.1602184,-1.2595009,,clubhouse,,,,,,Shetland,,ZE1 0UQ,
relation,4103459,Astbury Golf Course,53.1516305,-2.2088364,golf_course,,,,,,,,,,
relation,14692497,Astbury Golf Course,52.498503,-2.4080906,golf_course,,The Astbury,,,,,,,,
way,4367900,Aston Wood Golf Club,52.6080664,-1.8535774,golf_course,,,,,,,,,,
way,61885427,Atherstone Golf Club,52.564369,-1.5534587,golf_course,,,,,,,,,,
way,718276607,Atherstone Golf Club,52.5679193,-1.5474305,,clubhouse,,,,,,,,CV9 2RL,
way,300629599,Atlantic Reach Golf Course,50.4038397,-4.9548964,golf_course,,,https://www.atlanticreach.co.uk/,+44 1726 860775,info@atlanticreach.co.uk,,Whitecross,,TR8 4LX,
way,932382512,Auchenblae Golf Course,56.9036448,-2.4401106,golf_course,,Auchenblae Parks Committee,https://www.auchenblaegolfcourse.co.uk,,,,,,,
way,453854335,Auchenharvie Golf Course,55.6355054,-4.7687485,golf_course,,,https://kaleisure.com/location/auchenharvie-golf-course/,,,,,,,
relation,8851679,Auchmill Golf Course,57.1713368,-2.1709316,golf_course,,,https://auchmillgolfclub.co.uk/,+44 1224 715214,amg-club@outlook.com,Bonnyview Road,Aberdeen,,AB16 7FQ,
way,269353312,Auchterarder Golf Club,56.2879046,-3.727848,golf_course,,,https://www.auchterardergolf.co.uk/home,,,Orchil Road,Auchterarder,,PH3 1LS,
way,907784937,Auchterarder Golf Club,56.2897768,-3.7239894,,clubhouse,,https://www.auchterardergolf.co.uk/,+44 1764 662804,secretary@auchterardergolf.co.uk,Orchil Road,Auchterarder,,PH3 1LS,
way,354643599,Auchterderran Golf Club,56.1519834,-3.2730558,,clubhouse,,,+44 1592 721572,auchterderrangc@gmail.com,Woodend Road,Auchterderran,,KY5 0NH,
way,354643600,Auchterderran Golf Course,56.150684,-3.2779795,golf_course,,Fife Golf Trust,https://fifegolftrust.co.uk/auchterderran-golf-course/,,,Woodend Road,Auchterderran,,KY5 0NH,
way,5051855,Austin Lodge Golf Club (closed 2014),51.337293,0.2123917,golf_course,,,,,,,,,,
way,89367533,Avington Park Golf Course,51.0881342,-1.2308874,golf_course,,,,,,,,,,
relation,3368390,Avisford Park Golf Club,50.8470307,-0.6149301,golf_course,,,https://www.avisfordparkgolfclub.com/,+44 1243 554611,,,,,,
way,136243568,Avro Golf Club,53.3302918,-2.1615521,golf_course,,,,,,,,,,
way,104861329,Axe Cliff Golf Course,50.7064157,-3.0495681,golf_course,,,,,,,,,,
way,72448901,Aylesbury Vale Golf Club,51.9166102,-0.7400595,golf_course,,,,,,,,,,
way,4891768,Baberton Golf Course,55.9069808,-3.2957764,golf_course,,,https://babertongc.com/,+44 131 453 3555,,Baberton Avenue,Edinburgh,,EH14 5DU,
way,317454776,Backworth Golf Club,55.0397071,-1.5307131,golf_course,,,https://backworthgolf.com/,,,,,,,
way,347915521,Backworth Hall,55.0419855,-1.5311261,,clubhouse,,,,,,,,,
relation,19119926,Bacup Golf Course,53.702887,-2.209818,golf_course,,,https://bacupgolfclub.co.uk/,,,,,,,
way,1133871592,Badgemore Park Golf Club,51.544489,-0.927273,golf_course,,,,,,,,,,
way,1109743742,Badgers Sett,52.3908945,-2.4493015,golf_course,,Cleobury Mortimer Golf Club,,,,,,,,
node,7090793260,Baildon Golf Club,53.8556629,-1.7684536,golf_course,,,,,,,,,,
way,226735456,Baildon Golf Club,53.8565087,-1.7693389,,clubhouse,,,,,,,,,
way,259998000,Bakewell Golf Club,53.216049,-1.661877,golf_course,,,https://www.bakewellgolfclub.co.uk/,+44 1629 812307,,Station Road,Bakewell,,DE45 1GB,
way,382966148,Bala Lake Hotel,52.8960052,-3.6003312,golf_course,,,,,,,,,,
relation,3350963,Balbirnie Park Golf Club,56.2094742,-3.1490117,golf_course,,,https://www.balbirniegolf.com/,+44 1592 612095,administrator@balbirniegolf.com,,Glenrothes,,KY7 6NR,
way,1432609851,Balcomie Links,56.2828454,-2.6011938,golf_course,,Crail Golf Society,https://crailgolfingsociety.co.uk/golf/balcomie-links/,+44 1333 450686,info@crailgolfingsociety.co.uk,,Crail,,KY10 3XN,
way,370535728,Balfron Golf Club,56.0781247,-4.3289485,golf_course,,,http://www.balfrongolfsociety.org.uk/,+44 7814 827620,,,,,,
way,727234708,Balfron Golf Society,56.0752395,-4.3345641,,clubhouse,,,,,,,,,
way,158718591,Balgove Course,56.3482836,-2.8215009,golf_course,,St Andrews Links Trust,http://www.standrews.org.uk/Play/Courses/Balgove-Course,+44 1334 466 666; +44 1334 466 718,reservations@standrews.org.uk,,St Andrews,,KY16 9SF,
way,131837119,Ballards Gore,51.6045031,0.7475953,golf_course,,,,,,,,,,
way,324001778,Ballindalloch Castle Golf Course,57.4027864,-3.3659099,golf_course,,Ballindalloch Estate,https://www.ballindallochcastlegolf.com/,+44 1807 500331,,Lagmore,Ballindalloch,,AB37 9AA,
way,381725361,Ballochmyle Golf Club,55.5048242,-4.3522605,golf_course,,,https://ballochmylegolfclub.com/,,,,,,,
way,418751600,Ballumbie Castle Golf Course,56.4978435,-2.9044847,golf_course,,,https://www.ballumbiegolf.co.uk/,,,,,,,
node,662215242,Ballycastle Golf Club,55.2030731,-6.2355623,golf_course,,,,,,,,,,
way,139316211,Ballyclare Golf Course,54.7737532,-6.0341665,golf_course,,,,,,,,,,
way,441622154,Ballyearl Golf Course,54.700918,-5.953856,golf_course,,Antrim and Newtownabbey Borough Council,,,,,,,,
way,1299252024,Ballymena Golf Club,54.8836219,-6.2290775,,clubhouse,,,,,,,,,
way,195646009,Ballymena Golf Course,54.8848924,-6.2239368,golf_course,,,,,,,,,,
way,833697455,Ballyreagh Golf Course,55.1962006,-6.6829845,golf_course,,,,,,,,,,
way,1365625847,Balmoral Estate 9-hole golf course,57.0350902,-3.218303,golf_course,,,https://balmoralcastle.com/visiting/balmoral-estate/golf,,,,,,,
way,38839155,Balmoral Golf Club,54.5635707,-5.9709225,golf_course,,,,,,,,,,
way,24500764,Balmore Golf Club,55.9418118,-4.2534447,golf_course,,,https://www.balmoregolfclub.co.uk/,,,,,,,
way,828717306,Balnagask Golf Clubhouse,57.1380152,-2.0675957,,clubhouse,,,,,,Aberdeen,,AB11 9QT,
way,119307651,Balnagask Golf Course,57.1389129,-2.0609827,golf_course,,,https://www.sportaberdeen.co.uk/balnagask,+44 1224 876407,information@sportaberdeen.co.uk,St. Fitticks Road,Aberdeen,,AB11 8TN,
way,197937446,Bamburgh Castle Golf Club,55.6119863,-1.7369533,golf_course,,,https://www.bamburghcastlegolfclub.co.uk/,+44 1668 214378,sec@bamburghcastlegolfclub.co.uk,The Wynding,Bamburgh,,NE69 7DE,
relation,13052228,Banbridge Golf Club,54.3617521,-6.2886622,golf_course,,,,,,,,,,
way,89034285,Banchory Golf Club,57.0517234,-2.5148231,golf_course,,,https://www.banchorygolfclub.co.uk/,,,Kinneskie Road,,,AB31 5TA,
relation,4621702,Bangor Golf Club,54.6560465,-5.64978,golf_course,,,,,,,,,,
relation,19445952,Banstead Downs Golf Club,51.3347096,-0.2069719,golf_course,,,https://www.bansteaddowns.com/,+44 20 8642 2284,golf@bansteaddowns.com,Burdon Lane,Belmont,,SM2 7DD,
way,186699743,Bantock Park Pitch & Putt,52.5800258,-2.1561597,golf_course,,,,+44 1902 551155,,,,,,
node,10543613248,Bardsley Park Golf Centre,53.5101916,-2.114132,golf_course,,,,,,Knott Lanes,Oldham,,OL8 3JD,
way,322544024,Bargoed Golf Course,51.6922073,-3.2429201,golf_course,,,,,,,,,,
way,570006253,Bargoed Golf Course,51.6901892,-3.2431021,,clubhouse,,https://www.bargoedgolfclub.co.uk/,+44 1443 830143,,,Bargoed,,CF81 9GF,
way,100507980,Barkway Park Golf Club,51.9898677,0.0253793,golf_course,,,http://www.barkwayparkgolfclub.co.uk/,+44 1763 848215;+44 1763 849070,,Nuthampstead Road,Royston,,SG8 8EN,
way,391872440,Barlaston Golf Club,52.9332304,-2.1773608,golf_course,,,,,,,,,,
way,288721269,Barlborough Links Golf Club,53.278688,-1.2806884,golf_course,,,,+44 1246 813 111,,Oxcroft Way,Chesterfield,,S43 4WN,
way,117907277,Barnard Castle Golf Course,54.5572957,-1.9283921,golf_course,,,https://www.barnardcastlegolfclub.org/,+44 1833 638355,,Harmire Road,Barnard Castle,,DL12 8QN,
way,5154232,Barnehurst Golf Course,51.4601385,0.1727634,golf_course,,,https://www.mytimeactive.co.uk/golf/centres/barnehurst/default.aspx,+44 1322 523746,barnehurst@mytimeactive.co.uk,Mayplace Road East,Barnehurst,,,
way,334236483,Barnham Broom,52.6345345,1.0944395,golf_course,,,https://www.barnham-broom.co.uk/golf,+44 1603 757505,,,,,,
way,4344045,Barnsley Golf Club,53.5966302,-1.4923903,golf_course,,,https://www.barnsleygolfclub.co.uk/,+44 1226 380358,admin@barnsleygolfclub.co.uk,Wakefield Road,Barnsley,,S75 6JZ,
way,176488555,Baron Hill Golf Club,53.2568929,-4.1141325,golf_course,,,https://www.baronhill.co.uk/,,,,,,,
way,176488556,Baron Hill Golf Club,53.2570807,-4.1106551,,clubhouse,,,,,,,,,
way,587669129,Barrow Golf Club,54.1454675,-3.2236073,golf_course,,,https://www.barrowgolfclub.co.uk/contact.htm,+44 1229 825444,enquiries@barrowgolfclub.co.uk,Rakesmoor Lane,"Hawcoat, Barrow in Furness",,LA14 4QB,
way,27231590,Barshaw Park Golf Course,55.8523551,-4.3937413,golf_course,,,https://www.oneren.org/sport/golf-and-bowling-greens/,,,,,,,
way,167096416,Barton on Sea Golf Club,50.7356528,-1.6412723,golf_course,,Barton on Sea Golf Club,https://www.bosgc.co.uk/,+44 1425 615308,,Milford Road,,,BH25 5PP,
way,909368323,Basildon Golf Course,51.560473,0.4701617,golf_course,,,https://basildongolfcourse.com/,+44 1268 533532,,Clay Hill Lane,Basildon,,SS16 5JP,
