"Index","Total","Status","Rule Number","Rule Name","Title","Folder","Output Path","Duration Seconds","Error","Completed At UTC"
"31","270","skipped","R8","Divots, tractor ruts, bald patches, etc.","Playing from a divot, rut or bald patch","output\008_003_Playing_from_a_divot_rut_or_bald_patch","output\008_003_Playing_from_a_divot_rut_or_bald_patch\junior-version.json","0.00","","2026-08-30T06:47:47.521Z"
"32","270","skipped","R9","Ball at rest is moved","Ball moved while looking for it","output\009_001_Ball_moved_while_looking_for_it","output\009_001_Ball_moved_while_looking_for_it\junior-version.json","0.01","","2026-08-30T06:47:47.549Z"
"33","270","skipped","R9","Ball at rest moved by an outside influence","What to do if your ball is moved by a dog","output\009_001_What_to_do_if_your_ball_is_moved_by_a_dog","output\009_001_What_to_do_if_your_ball_is_moved_by_a_dog\junior-version.json","0.00","","2026-08-30T06:47:47.565Z"
"34","270","skipped","R9","Ball at rest is moved","Ball moved while preparing a stroke","output\009_002_Ball_moved_while_preparing_a_stroke","output\009_002_Ball_moved_while_preparing_a_stroke\junior-version.json","0.01","","2026-08-30T06:47:47.597Z"
"35","270","skipped","R9","Ball at rest is moved","Ball moved by an animal","output\009_003_Ball_moved_by_an_animal","output\009_003_Ball_moved_by_an_animal\junior-version.json","0.01","","2026-08-30T06:47:47.631Z"
"36","270","skipped","R9","Ball at rest is moved","Ball moved by the wind after a stroke","output\009_004_Ball_moved_by_the_wind_after_a_stroke","output\009_004_Ball_moved_by_the_wind_after_a_stroke\junior-version.json","0.01","","2026-08-30T06:47:47.650Z"
"37","270","skipped","R9","Ball moved when taking a practice swing","What happens if you move your ball on a practice swing?","output\009_004_What_happens_if_you_move_your_ball_on_a_practice_swing","output\009_004_What_happens_if_you_move_your_ball_on_a_practice_swing\junior-version.json","0.03","","2026-08-30T06:47:47.702Z"
"38","270","skipped","R9","Ball at rest is moved","Opponent moves your ball in match play","output\009_005_Opponent_moves_your_ball_in_match_play","output\009_005_Opponent_moves_your_ball_in_match_play\junior-version.json","0.01","","2026-08-30T06:47:47.714Z"
"39","270","skipped","R9","Ball moved when grounding the club","Penalty for moving the ball when grounding the club","output\009_005_Penalty_for_moving_the_ball_when_grounding_the_club","output\009_005_Penalty_for_moving_the_ball_when_grounding_the_club\junior-version.json","0.00","","2026-08-30T06:47:47.740Z"
"40","270","skipped","R10","Advice and line of play","What advice can you ask for on the course?","output\010_001_What_advice_can_you_ask_for_on_the_course","output\010_001_What_advice_can_you_ask_for_on_the_course\junior-version.json","0.01","","2026-08-30T06:47:47.769Z"
"41","270","skipped","R10","Advice and line of play","What advice can you ask for on the golf course?","output\010_001_What_advice_can_you_ask_for_on_the_golf_course","output\010_001_What_advice_can_you_ask_for_on_the_golf_course\junior-version.json","0.00","","2026-08-30T06:47:47.788Z"
"42","270","skipped","R10","Advice and line of play","When can you discuss distances on the course?","output\010_001_When_can_you_discuss_distances_on_the_course","output\010_001_When_can_you_discuss_distances_on_the_course\junior-version.json","0.00","","2026-08-30T06:47:47.815Z"
"43","270","skipped","R10","Advice and line of play","Allowed questions in golf","output\010_002_Allowed_questions_in_golf","output\010_002_Allowed_questions_in_golf\junior-version.json","0.00","","2026-08-30T06:47:47.836Z"
"44","270","skipped","R10","Advice and line of play","Giving advice before a shot","output\010_002_Giving_advice_before_a_shot","output\010_002_Giving_advice_before_a_shot\junior-version.json","0.00","","2026-08-30T06:47:47.853Z"
"45","270","skipped","R10","Advice and line of play","Penalty for giving or asking for advice","output\010_002_Penalty_for_giving_or_asking_for_advice","output\010_002_Penalty_for_giving_or_asking_for_advice\junior-version.json","0.00","","2026-08-30T06:47:47.879Z"
"46","270","skipped","R10","Protection from the elements","Umbrellas and outside help while putting","output\010_003_Umbrellas_and_outside_help_while_putting","output\010_003_Umbrellas_and_outside_help_while_putting\junior-version.json","0.01","","2026-08-30T06:47:47.920Z"
"47","270","skipped","R10","Double hit","What happens if you accidentally hit the ball twice in one swing?","output\010_003_What_happens_if_you_accidentally_hit_the_ball_twice_in_one_swing","output\010_003_What_happens_if_you_accidentally_hit_the_ball_twice_in_one_swing\junior-version.json","0.01","","2026-08-30T06:47:47.935Z"
"48","270","skipped","R10","Advice and line of play","What happens if you get advice without asking?","output\010_003_What_happens_if_you_get_advice_without_asking","output\010_003_What_happens_if_you_get_advice_without_asking\junior-version.json","0.02","","2026-08-30T06:47:47.991Z"
"49","270","skipped","10","Advice and line of play","Advice about line of play on the green","output\010_004_Advice_about_line_of_play_on_the_green","output\010_004_Advice_about_line_of_play_on_the_green\junior-version.json","0.01","","2026-08-30T06:47:48.008Z"
