Code,Name,Size,Yield,UnitCost,MesSellPrice,UnitSelPrice,OpenStockUnit,OpenStockPrice,StockHoldingUnits,StockHoldingPrice,Stock_Id,Suggested_Name,manual_size
012772,RED DOOR GIN FOC,70,28.0,0.00,0.00,0.00,0.4,0.00,0.4,0.00			,281,Redbull Door Gin 700ml [012772],700ml
012807,RUGBY GIN FOC,70,28.0,0.00,0.00,0.00,1.0,0.00,1.0,0.00			,282,Rugby Gin 700ml [012807],700ml
012931,W/NEIL APRICOT PINK,70,28.0,27.94,0.00,0.00,0.8,22.35,0.8,22.35			,168,Whitley Neill Apricot Pink Gin 700ml [012931],700ml
012941,WHITNEY NEIL GIN,70,28.0,17.49,0.00,0.00,0.2,3.50,0.1,1.75			,63,Whitley Neill Gin 700ml [012941],700ml
012947,W/NEIL DIST CUT,70,28.0,17.49,0.00,0.00,1.3,22.74,1.2,20.99			,169,Whitley Neill Distilers Cut Gin 700ml [012947],700ml
012949,W/NEIL BLK CHERRY,70,28.0,18.33,0.00,0.00,2.9,53.16,2.9,53.16,170,Whitley Neill Black Cherry Gein 700ml [012949],700ml
012950,W/NEIL B/ORANGE,70,28.0,17.49,0.00,0.00,1.6,27.98,2.1,36.73,171,Whitley Neill Blood Orange Gin 700ml [012950],700ml
012953,W/NEIL GOOSEBERRY,100,40.0,22.84,0.00,0.00,0.3,6.85,0.2,4.57,172,Whitley Neill Gooseberry 700ml [012953],700ml
012954,W/NEIL PINEAPPLE,70,28.0,17.49,0.00,0.00,1.5,26.24,2.1,36.73,173,Whitley Neill Pineapple Gin 700ml [012954],700ml
012955,W/NEIL PINK GRAPE,70,28.0,17.49,0.00,0.00,0.8,13.99,0.3,5.25,174,Whitley Neill Pink Grape Gin 700ml [012955],700ml
012957,W/NEIL RASPBERRY,70,28.0,22.84,0.00,0.00,1.7,38.83,3.0,67.38,175,Whitley Neill Raspberry Gin 700ml [012957],700ml
012959,W/NEIL RHUBARB,70,28.0,19.06,0.00,0.00,1.8,34.31,0.9,17.15,176,Whitley Neill Rhubarb Gin 700ml [012959],700ml
013071,BELLS,70,28.0,17.39,0.00,0.00,0.9,15.65,4.8,83.47,26,Bells Scotch Whisky 700ml [013071],700ml
013271,FAMOUS GROUSE,70,28.0,19.15,0.00,0.00,2.7,51.71,2.2,42.13,38,Famous Grouse Scotch Whisky 700ml [013271],700ml
013951,WHYTE & MACKAY,70,28.0,13.57,0.00,0.00,1.0,13.57,1.3,17.64,123,Whyte Mackay Whisky 700ml [013951],700ml
014041,AUCHENTOSHAN,70,28.0,23.48,0.00,0.00,1.0,23.48,0.6,14.09,177,Auchentoshan 700ml [014041],700ml
014091,BOWMORE 12YO,70,28.0,38.96,0.00,0.00,1.7,66.23,1.3,48.70,30,Bowmore Malt Whisky 12yo 700ml [014091],700ml
014371,GLEN SCOTIA,70,28.0,10.95,0.00,0.00,0.8,8.76,0.7,7.67,178,Glen Scotia 700ml [014371],700ml
014415,GLENLIVET FOUNDERS,70,28.0,57.40,0.00,0.00,2.9,166.46,2.3,132.02,179,Glenlivet Founders Malt Whisky 700ml [014415],700ml
014431,GLENMORANGIE 10YR,70,28.0,33.15,0.00,0.00,1.9,62.99,1.2,39.78,39,Glenmorangie Malt Whisky 10yr 700ml [014431],700ml
014455,HAIG CLUBMAN,70,28.0,25.65,0.00,0.00,0.2,5.13,0.2,5.13,43,Haig Clubman 700ml [014455],700ml
014841,TALISKER,70,28.0,39.38,0.00,0.00,2.9,114.20,2.6,100.42,59,Talisker Malt Whisky 700ml [014841],700ml
015341,JACK DANIELS,70,28.0,19.25,0.00,0.00,3.2,61.60,3.1,59.68,45,Jack Daniels Tennessee 700ml [015341],700ml
015361,JIM BEAM WHITE,70,28.0,12.99,0.00,0.00,1.2,15.59,0.7,9.09,48,Jim Beam White 700ml [015361],700ml
015501,SOUTHERN COMFORT,70,28.0,20.65,0.00,0.00,3.6,74.34,3.7,76.41,58,Southern Comfort 700ml [015501],700ml
015721,JAMESON,70,28.0,19.05,0.00,0.00,2.0,38.10,1.0,19.05,47,Jameson Irish Whiskey 700ml [015721],700ml
016801,SMIRNOFF RED,70,28.0,17.50,0.00,0.00,1.9,33.25,1.9,33.25,57,Smirnoff Red Label Vodka 700ml [016801],700ml
017651,PIMMS NO1,100,40.0,16.01,0.00,0.00,2.3,36.82,2.3,36.82,52,Pimms No No 1 1000ml [017651],1000ml
018081,AMARETTO,70,28.0,20.58,0.00,0.00,2.6,53.51,3.3,67.91,128,Amaretto 700ml [018081],700ml
018091,AMARETTO WHITE,70,28.0,19.86,0.00,0.00,1.9,37.73,1.9,37.73,181,Amaretto White 700ml [018091],700ml
018151,BAILEYS IRISH CRM,70,14.0,15.89,0.00,0.00,0.0,0.00,3.8,60.38 ,25,Baileys Irish Cream 700ml [018151],700ml
018171,BENEDICTINE,70,28.0,15.42,0.00,0.00,0.9,13.88,0.9,13.88 ,27,Benedictine 700ml [018171],700ml
018501,DRAMBUIE,70,28.0,29.92,0.00,0.00,1.9,56.85,1.7,50.86,37,Drambuie 700ml [018501],700ml
018731,GRAND MARNIER,70,28.0,16.36,0.00,0.00,0.6,9.82,0.0,0.00,42,Grand Marnier 700ml [018731],700ml
018841,JAGERMEISTER,70,28.0,19.47,0.00,0.00,1.6,31.15,0.7,13.63,46,Jagermeister 700ml [018841],700ml
018861,KAHLUA,70,28.0,15.00,0.00,0.00,2.8,42.00,3.5,52.50,182,Kahlua 700ml [018861],700ml
019051,MALIBU ORIGINAL,70,28.0,14.03,0.00,0.00,0.7,9.82,0.6,8.42,49,Malibu Original 700ml [019051],700ml
019340,ARCHERS SCHNAPPS,150,60.0,25.28,0.00,0.00,0.9,22.75,1.0,25.28,183,Archers Schnapps 1500ml [019340],1500ml
019341,ARCHERS PEACH SCH,70,28.0,14.22,0.00,0.00,1.7,24.17,1.0,14.22,23,Archers Peach Schnapps 700ml [019341],700ml
019513,SAMBUCA ANTICA,70,28.0,14.87,0.00,0.00,1.5,22.31,2.0,29.74,79,Sambuca Antica 700ml [019513],700ml
019697,TEQ DEAD MAN RASP,70,28.0,0.00,0.00,0.00,0.8,0.00,0.4,0.00,186,Dead Mans Finger Blue Raspberry 700ml [019697],700ml
019785,TEQ PATRON SILVER,70,28.0,0.00,0.00,0.00,0.5,0.00,1.0,0.00,298,Patron Silver Tequilla 700ml [019785],700ml
019793,TEQ ROSE,70,28.0,13.49,0.00,0.00,0.2,2.70,2.0,26.98,187,Tequilla Rose 700ml [019793],700ml
019831,TIA MARIA,70,28.0,28.61,0.00,0.00,5.0,143.05,0.0,0.00,62,Tia Maria 700ml [019831],700ml
019832,WRAY & NEPHEW RUM,70,28.0,24.22,0.00,0.00,0.0,0.00,3.8,92.04,305,Wray Nephew Rum 700ml [019832],700ml
019834,GREY GOOSE VODKA,70,28.0,35.53,0.00,0.00,0.0,0.00,1.4,49.74,283,Grey Goose Vodka 700ml [019834],700ml
019835,SMIRNOFF PEACH,70,28.0,18.25,0.00,0.00,0.0,0.00,0.8,14.60,307,Smirnoff Miami Peach Vodka 700ml [019835],700ml
019836,CURACAO BLUE DKY,35,14.0,10.15,0.00,0.00,0.0,0.00,0.8,8.12,284,Curacao Blue Dky 350ml [019836],350ml
019837,APEROL,70,28.0,12.00,0.00,0.00,0.0,0.00,3.0,36.00,309,Aperol 700ml [019837],700ml
021221,CINZANO BIANCO,75,15.0,6.73,0.00,0.00,0.9,6.06,0.9,6.06		,34,Cinzano Bianco 750ml [021221],750ml
021500,MARTINI DRY,150,30.0,11.68,0.00,0.00,0.3,3.50,0.3,3.50,50,Martini Dry 1500ml [021500],1500ml
021540,MARTINI RED,150,30.0,13.24,0.00,0.00,0.3,3.97,0.2,2.65,51,Martini Red 1500ml [021540],1500ml
022451,COCKBURNS SPECIAL,75,15.0,14.23,0.00,0.00,0.8,11.38,0.4,5.69,189,Cockburns Special 750ml [022451],750ml
023761,NIEPOORT RUBY PORT,75,15.0,14.23,0.00,0.00,0.9,12.81,0.9,12.81,120,Niepoort Ruby Port 750ml [023761],750ml
024561,TAYLORS TAWNY PORT,75,15.0,12.60,0.00,0.00,1.0,12.60,1.8,22.68,61,Taylors Tawny Port 750ml [024561],750ml
025201,BRISTOL CREAM,75,15.0,10.47,0.00,0.00,1.6,16.75,0.3,3.14,129,Bristol Cream 750ml [025201],750ml
029121,CRABBIES GINGER,70,28.0,8.69,0.00,0.00,0.7,6.08,0.7,6.08,8,Crabbies Ginger Beer 700ml [029121],700ml
030221,BEAUJOLAIS VILLAGE,BOT,1.0,8.29,0.00,0.00,8.0,66.32,7.0,58.03,121,Beaujolais Village 750ml [030221],750ml
030421,CAB SAUV BROOKFORD,BOT,1.0,6.10,0.00,0.00,5.3,32.33,6.0,36.60,192,Brookford Cabernet Sauvignon [030421],750ml
030511,CHARD BROOKFORD,BOT,1.0,6.10,0.00,0.00,20.3,123.83,17.5,106.75,110,Chardonnay Brookford 750ml [030511],750ml
030551,CHARD MACON VILLAGE,BOT,1.0,9.13,0.00,0.00,7.0,63.91,6.0,54.78,112,Chardonnay Macon Village 750ml [030551],750ml
030571,CHARD OUDE KAAP,BOT,1.0,5.49,0.00,0.00,15.0,82.35,18.0,98.82,193,Chardonnay Oude Kaap 750ml [030571],750ml
030651,CHENIN OUDE KAAP,BOT,1.0,5.28,0.00,0.00,10.7,56.50,22.0,116.16,194,Chenin Oude Kaap 750ml [030651],750ml
034221,MALBEC DESPACITO,BOT,1.0,7.06,0.00,0.00,0.0,0.00,20.4,144.02,115,Despacito Malbec 750ml [034221],750ml
034321,MALBEC HERMANDAD,BOT,1.0,14.84,0.00,0.00,2.0,29.68,1.0,14.84,117,Hermandad Malbec 750ml [034321],750ml
034421,MALBEC WHITE,BOT,1.0,7.75,0.00,0.00,5.0,38.75,4.5,34.88,196,Malbec White 750ml [034421],750ml
034531,MERLOT CASA SANTI,BOT,1.0,6.33,0.00,0.00,16.1,101.91,8.3,52.54,197,Casa Santiago Merlot 750ml [034531],750ml
034661,P/GRIGIO TREVIGIAN,BOT,1.0,5.72,0.00,0.00,15.7,89.80,14.0,80.08,108,Trevigian Pinot Grigio White 750ml [034661],750ml
034671,P/GRIGIO TREV ROSE,BOT,1.0,5.72,0.00,0.00,19.8,113.26,18.9,108.11,107,Trevigian Pinot Grigio Rose 750ml [034671],750ml
034811,P/NOIR ARTE NOBLE,BOT,1.0,5.95,0.00,0.00,9.0,53.55,8.0,47.60,202,Arte Noble Pinot Noir 750ml [034811],750ml
034821,P/NOIR BOURG,BOT,1.0,0.01,0.00,0.00,7.0,0.07,9.0,0.09,203,Bourgogne Pinot Noir 750ml [034821],750ml
034851,PINOT NOIR ROCHEBIN,BOT,1.0,6.95,0.00,0.00,2.0,13.90,0.0,0.00,204,Rochebin Pinot Noir 750ml [034851],750ml
035321,RIOJA CHOZA,BOT,1.0,9.18,0.00,0.00,9.0,82.62,19.0,174.42,205,Choza Rioja 750ml [035321],750ml
036521,SAUV BLNC AOTEAROA,BOT,1.0,8.75,0.00,0.00,1.0,8.75,0.0,0.00,206,Aotearoa Sauvignon Blanc 750ml [036521],750ml
036551,SAUV BLNC INVINIT,BOT,1.0,9.18,0.00,0.00,6.0,55.08,3.0,27.54,111,Invinit Sauvignon Blanc 750ml [036551],750ml
036571,SAUV BLNC OUDE KAAP,BOT,1.0,6.10,0.00,0.00,9.0,54.90,6.0,36.60,207,Oude Kaap Sauvignon Blanc 750ml [036571],750ml
036591,SAUV BLNC SANTIAGO,BOT,1.0,6.33,0.00,0.00,5.3,33.55,15.7,99.38,208,Santiago Sauvignon Blanc 750ml [036591],750ml
036851,SHIRAZ BROOKFORD,BOT,1.0,5.29,0.00,0.00,14.6,77.23,28.4,150.24,114,Brookford Shiraz 750ml [036851],750ml
037851,ZINF HILMASPRINGS,BOT,1.0,6.10,0.00,0.00,19.0,115.90,21.0,128.10,106,Hilmar Springs Zinfandel 750ml [037851],750ml
038651,CAVA LACRIMA,BOT,1.0,6.63,0.00,0.00,1.0,6.63,1.0,6.63,209,Cava Lacrima 750ml [038651],750ml
038856,PROSECCO ROSE,200,1.0,2.36,0.00,0.00,77.0,181.72,0.0,0.00,299,Di Maria Rose Prosecco Minature Bottle [038856],BOTTLE
038871,PROSECCO TREVIGIAN,BOT,1.0,6.95,0.00,0.00,6.0,41.70,31.0,215.45,297,Trevigian Prosecco White 750ml [038871],750ml
038873,PROSECCO TREVIGIAN,200,1.0,2.36,0.00,0.00,52.0,122.72,414.0,977.04,300,Prosecco Trevigian Minature Bottle [038873],BOTTLE
038881,PROSECCO TREV ROSE,BOT,1.0,6.95,0.00,0.00,10.0,69.50,11.0,76.45,211,Trevigiana Prosecco Rose 750ml [038881],750ml
040481,BASS ALE 10GAL,GAL,8.0,10.73,0.00,0.00,15.5,166.32,39.0,418.47		,134,Bass Ale Draught [040481],GAL
046321,GUINNESS,GAL,8.0,15.37,0.00,0.00,30.0,461.10,29.0,445.73,4,Guinness Draught [046321],GAL
047281,CARLING,GAL,8.0,12.09,0.00,0.00,44.0,531.96,44.0,531.96,1,Carling Draught [047281],GAL
047446,ESTRELLA 0%,GAL,8.0,9.82,0.00,0.00,5.3,52.05,8.0,78.56,141,Estrella 0% Draught  [047446],GAL
048061,MADRI,GAL,8.0,13.73,0.00,0.00,31.0,425.63,54.0,741.42 ,136,Madri Draught [048061],GAL
048501,SAN MIGUEL,GAL,8.0,12.19,0.00,0.00,54.0,658.26,42.0,511.98,5,San Miguel Draught [048501],GAL
052336,GUINNESS O% CANS,440,12.0,18.17,0.00,0.00,7.3,132.64,12.2,221.67,Guinness 0.0% 440ml [052336],,440
055061,PERONI N/AZZURO,330,12.0,13.79,0.00,0.00,8.8,121.35,5.1,70.33,215,Peroni N Azzuro 330ml [055061],BOTTLE
055071,PERONI 0%,330,12.0,14.06,0.00,0.00,4.1,57.65,3.3,46.40,148,Peroni 0 330ml [055071],BOTTLE
060131,ASPALL 4.5%,GAL,8.0,10.37,0.00,0.00,48.0,497.76,35.0,362.95		,137,Aspall 4.5% Draught [060131],GAL
064851,KOPPABERG M/FRUIT,500,12.0,22.49,0.00,0.00,4.5,101.21,1.6,35.98,10,Koppaberg Mixed Fruit 0% [064851],BOTTLE
064881,KOPPABERG ST/LIME,500,12.0,22.47,0.00,0.00,4.3,96.62,5.4,120.44,149,Koppaberg Strawberry & Lime [064881],BOTTLE
064891,KOPPABERG S/L 0%,500,12.0,22.31,0.00,0.00,0.0,0.00,3.8,84.78 ,269,Koppaberg Strawberry & Lime 0% [064891],BOTTLE
065371,OLD MOUT KIWI,500,12.0,17.90,0.00,0.00,0.3,5.37,0.9,16.11 ,150,Old Mout Kiwi 500ml [065371],BOTTLE
071521,F/TREE AROMATIC,200,12.0,8.36,0.00,0.00,3.9,32.60,0.4,3.34,219,Fever Tree Aromatic [071521],BOTTLE
071551,F/TREE GINGER ALE,200,12.0,9.18,0.00,0.00,3.5,32.13,4.9,44.98,220,Fever Tree Ginger Ale [071551],BOTTLE
071581,F/TREE TONIC,200,12.0,8.25,0.00,0.00,4.1,33.83,6.8,56.10,152,Fever Tree Tonic [071581],BOTTLE
071595,F/TREE LIGHT TONIC,200,12.0,8.25,0.00,0.00,1.2,9.90,4.4,36.30,151,Fever Tree Light Tonic [071595],BOTTLE
075100,BELU WATER,750,12.0,11.74,0.00,0.00,2.5,29.35,1.3,15.26,222,Belu Water [075100],BOTTLE
075701,SPRINGBOURNE WATER,330,12.0,4.53,0.00,0.00,3.0,13.59,1.3,5.89,223,Springbourne Water 3300ml [075701],BOTTLE
076151,COLA 5.4-1,LTR,22.4,4.68,0.00,0.00,26.0,121.68,16.0,74.88,143,Cola 5.4-1 Post Mix [076151],POSTMIX
076321,GINGER BEER 5-1,LTR,21.0,4.95,0.00,0.00,20.0,99.00,19.0,94.05,268,Ginger Beer 5-11 Post Mix [076321],POSTMIX
076621,ORANGE JUICE 4-1,LTR,17.5,6.89,0.00,0.00,20.0,137.80,31.0,213.59,144,Orange Juice 4-1 Post Mix [076621],POSTMIX
076701,PEPSI MAX 5-1,LTR,21.0,6.06,0.00,0.00,30.0,181.80,23.0,139.38,95,Pepsi Max 5-1 Post Mix [076701],POSTMIX
076901,LEMONADE 7.5-1,LTR,29.7,3.57,0.00,0.00,41.0,146.37,34.0,121.38,135,Lemonade 7.5-1 Post Mix [076901],POSTMIX
077303,COCA COLA CN,150,12.0,7.77,0.00,0.00,1.8,14.22,0.0,0.00,15,Coca Cola Can 3300ml [077303],CAN
077521,FANTA CN,330,12.0,1.00,0.00,0.00,4.4,4.40,3.2,3.20,97,Fanta Can 3300ml [077521],CAN
077681,PEPSI MAX CN,330,12.0,5.99,0.00,0.00,13.8,82.66,15.8,94.64,20,Pepsi Max Can 3300ml [077681],CAN
077961,PET RIBENA,500,12.0,1.00,0.00,0.00,2.3,2.25,0.0,0.00,241,Ribena [077961],BOTTLE
077991,PET WATER,500,12.0,1.00,0.00,0.00,4.8,4.83,0.0,0.00,19,Natural Still Water [077991],BOTTLE
077993,RED BULL,250,12.0,12.00,0.00,0.00,0.0,0.00,1.3,15.60,304,Redbull Bull 250ml [077993],CAN
090171,BACON FRIES,DOZ,12.0,5.27,0.00,0.00,0.0,0.00,5.1,26.98,288,Bacon Fries [090171],DOZ
094421,DRY ROAST KP 50G,DOZ,12.0,9.65,0.00,0.00,1.9,18.34,2.7,26.06,246,Kp Dry Roasted Doz 50g [094421],DOZ
095751,SALTED NUTS KP 50G,DOZ,12.0,9.65,0.00,0.00,2.7,26.06,3.9,37.64 ,83,Salted Kp Nuts Doz 50g [095751],DOZ
098051,AREO MINT,DOZ,12.0,6.75,0.00,0.00,3.1,20.79,0.0,0.00,247,Aero Mint Chocolate [098051],EACH
098271,CRUNCHIE,DOZ,12.0,9.79,0.00,0.00,4.6,45.03,2.4,23.50,248,Crunchie Doz [098271],DOZ
098276,DAIRY MILK 45G,DOZ,12.0,7.11,0.00,0.00,5.4,38.39,0.1,0.71,249,Dairy Milk Doz 45g [098276],DOZ
098561,HARIBO STARMIX,DOZ,12.0,14.91,0.00,0.00,2.3,33.55,0.0,0.00,250,Haribo Starmix [098561],EACH
098566,HARIBO SUPERMIX,DOZ,12.0,14.91,0.00,0.00,0.6,8.95,0.9,13.42	,251,Haribo Supermix Doz [098566],DOZ
098571,HARIBO TANGFASTIC,DOZ,12.0,14.91,0.00,0.00,0.7,10.44,0.2,2.98,252,Haribo Tangfastic Doz [098571],DOZ
098621,GALAXY,DOZ,12.0,7.50,0.00,0.00,6.5,48.75,0.0,0.00,253,Galaxy Chocolate Bar [098621],EACH
098871,KIT KAT 4 FINGER,DOZ,12.0,6.09,0.00,0.00,1.8,11.14,0.0,0.00,86,Kit Kat 4 Finger [098871],EACH
098873,KIT KAT 2 FINGER,TEN,10.0,1.74,0.00,0.00,13.9,24.19,0.0,0.00,254,Kit Kat 2 Finger [098873],EACH
099000,MALTESERS,TEN,10.0,4.75,0.00,0.00,5.1,24.23,0.0,0.00,255,Maltesers [099000],EACH
099021,MARS BARS,DOZ,12.0,5.37,0.00,0.00,6.5,34.91,0.0,0.00,256,Mars Bar [099021],EACH
099026,MINSTRELS,TEN,10.0,0.01,0.00,0.00,0.4,0.00,0.0,0.00,257,Minstrels [099026],EACH
099031,MAOAM PINBALLS,TEN,10.0,10.14,0.00,0.00,2.3,23.32,0.0,0.00,258,Maoam Pinballs [099031],EACH
099351,SNICKERS,DOZ,12.0,6.49,0.00,0.00,5.9,38.29,2.1,13.63,259,Snickers Doz [099351],DOZ
099521,TWIRL,DOZ,12.0,6.24,0.00,0.00,1.6,9.86,0.0,0.00,260,Twirl [099521],EACH
099711,TWIX,TEN,10.0,5.00,0.00,0.00,3.9,19.50,0.0,0.00,261,Twix [099711],EACH
099712,PORK SCRATCHINGS,DOZ,12.0,8.16,0.00,0.00,0.0,0.00,6.0,48.96,290,Pork Scratchings Doz [099712],DOZ
099713,SCAMPI FRIES,DOZ,12.0,5.29,0.00,0.00,0.0,0.00,3.2,16.93,288,Scampi Fries Doz [099713],DOZ
042771,LEVEL HEAD 30L,GAL,8.0,13.47,0.00,0.00,12.5,168.38,16.2,218.21,138,Level Head Draught [042771],GAL
999001,FRUIT SHOOTS – Apple & Blackcurrant,275,12.0,5.55,0.00,0.00,3.9,21.59,2.6,14.51,221,Fruit Shoot Apple Blackcurrant [999001],BOTTLE
999002,FRUIT SHOOTS – Orange,275,12.0,5.55,0.00,0.00,2.5,13.93,1.7,9.36,17,Fruit Shoot Orange [999002],BOTTLE
999003,NELSONS FLV GIN – Rhubarb & Custard,70,28.0,24.57,0.00,0.00,0.5,11.83,0.7,16.13,266,Nelsons Rhubarb Custard Gin 700ml [999003],700ml
999004,NELSONS FLV GIN – Temir,70,28.0,24.57,0.00,0.00,0.6,15.20,0.8,20.73,265,Nelsons Temir Gin 700ml [999004],700ml
999005,NELSONS FLV RUM - CHOCOLATE,70,28.0,24.57,0.00,0.00,0.5,12.53,0.5,11.06,279,Nelsons Chocolate Rum 700ml [999005],700ml
999006,NELSONS FLV RUM - SIGNATURE,70,28.0,24.57,0.00,0.00,1.2,29.24,1.1,25.80,280,Nelsons Signature Rum 700ml [999006],700ml
999007,SOURZ - APPLE,70,28.0,7.88,0.00,0.00,1.1,8.34,1.1,8.34,184,Sourz Apple 700ml [999007],700ml
999008,SOURZ - CHERRY,70,28.0,7.88,0.00,0.00,0.9,7.42,0.9,7.42,185,Sourz Cherry 700ml [999008],700ml
999009,BRITVIC J2O – Apple & Mango,275,12.0,13.54,0.00,0.00,5.1,69.24,3.8,51.93,218,Britvic J2O Apple Mango [999009],BOTTLE
999010,BRITVIC J2O – Apple & Raspberry,275,12.0,13.54,0.00,0.00,4.2,56.36,3.1,42.27,217,Britvic J2O Apple Raspberry [999010],BOTTLE
999011,BRITVIC J2O – Orange & Passion Fruit,275,12.0,13.54,0.00,0.00,3.9,53.14,2.9,39.85,216,Britvic J2O Orange Passion Fruit 0 [999011],BOTTLE
999012,POSTMIX CORDIAL - ORANGE,LTR,20.0,1.44,0.00,0.00,19.7,28.35,17.2,24.75,147,Blackcurrant Cordial Post Mix [999012],POSTMIX
999013,POSTMIX CORDIAL - BLACKCURRANT,LTR,20.0,1.44,0.00,0.00,23.6,34.02,20.6,29.70,145,Lime Cordial Post Mix [999013],POSTMIX
999014,POSTMIX CORDIAL - LIME,LTR,20.0,1.44,0.00,0.00,19.7,28.35,17.2,24.75,146,Orange Cordial Post Mix [999014],POSTMIX
999015,CRISPS PIPERS 40G - Cheddar & Onion,TEN,10.0,6.20,0.00,0.00,2.9,17.98,3.4,20.87,155,Crisps Pipers 40g Cheddar Onion [999015],TEN
999016,CRISPS PIPERS 40G - Cider & Vinegar,TEN,10.0,6.20,0.00,0.00,3.7,23.25,4.4,26.98,157,Crisps Pipers 40g Cider Vinegar [999016],TEN
999017,CRISPS PIPERS 40G - Longhorn Beef,TEN,10.0,6.20,0.00,0.00,2.6,16.23,3.0,18.83,85,Crisps Pipers 40g Longhorn Beef [999017],TEN
999018,CRISPS PIPERS 40G - See Salt,TEN,10.0,6.20,0.00,0.00,3.7,22.81,4.3,26.47,156,Crisps Pipers 40g See Salt [999018],TEN
999019,CRISPS PIPERS 40G - Sweet Chilli,TEN,10.0,6.20,0.00,0.00,3.3,20.18,3.8,23.41,158,Crisps Pipers 40g Sweet Chilli [999019],TEN
999020,Guest Ale,GAL,8.0,12.02,0.00,0.00,59.5,676.85,32.4,389.57,3,Guest Ale Draught [999020],GAL
