LeftKey,LeftName,LeftVolumeML,RightKey,RightName,RightVolumeML,Score,Method,Status
064881,KOPPABERG ST/LIME,,149,Koppaberg Strawberry & Lime 500ml Bottle,,1.0,left_to_right,matched
011551,KRAKEN,,160,Kraken Spiced Rum,,1.0,left_to_right,matched
011556,KRAKEN CHERRY,,162,Kraken Cherry Rum,,1.0,left_to_right,matched
011559,KRAKEN COFFEE,,163,Kraken Roast Coffee Rum,,0.9,left_to_right,matched
042771,LEVEL HEAD 30L GAL,,138,Level Head,,1.0,left_to_right,matched
048061,MADRI GAL,,136,Madri,,1.0,left_to_right,matched
034221,MALBEC DESPACITO BOT,,115,Despacito Malbec 750ml Bottle,,1.0,left_to_right,matched
034321,MALBEC HERMANDAD BOT,,117,Hermandad Malbec 750ml Bottle,,1.0,left_to_right,matched
021540,MARTINI RED,,51,Martini Rosso,,1.0,left_to_right,matched
034531,MERLOT CASA SANTI BOT,,113,Casa Merlot  LCL,,0.9,left_to_right,matched
012621,NELSONS GIN,,264,Nelsons Gin,,1.0,left_to_right,matched
011601,NELSONS RUM,,264,Nelsons Gin,,1.0,left_to_right,matched
023761,NIEPOORT RUBY PORT,,120,Niepoort Port,,0.9,left_to_right,matched
065371,OLD MOUT KIWI,,150,Old Mout Kiwi & Lime 500ml Bottle,,0.9,left_to_right,matched
076621,ORANGE JUICE 4-1 LTR,,144,Orange Juice Post Mix,,1.0,left_to_right,matched
034671,P/GRIGIO TREV ROSE BOT,,107,Cantina Trevigiana Pinot Grigio Blush 750ml Bottle,,0.9,left_to_right,matched
034661,P/GRIGIO TREVIGIAN BOT,,107,Cantina Trevigiana Pinot Grigio Blush 750ml Bottle,,0.9,left_to_right,matched
034811,P/NOIR ARTE NOBLE BOT,,202,Arte Noble Reserve Pino Noir 75cl Bottle,,0.9,left_to_right,matched
034821,P/NOIR BOURG BOT,,203,Pino Noir Bourgogne,,0.9,left_to_right,matched
076701,PEPSI MAX 5-1 LTR,,20,Pepsi Max Can,,1.0,left_to_right,matched
077681,PEPSI MAX CN,,20,Pepsi Max Can,,1.0,left_to_right,matched
055061,PERONI N/AZZURO,,148,Peroni Nastro Azzuro 0.0% 330ml Bottle,,1.0,left_to_right,matched
017651,PIMMS NO1,,52,Pimms No 1,,1.0,left_to_right,matched
099712,PORK SCRATCHINGS DOZ,,290,Midlands Pork Scratchings,,0.9,left_to_right,matched
038881,PROSECCO TREV ROSE BOT,,211,75cl Trevigiana Prosecco Rose,,1.0,left_to_right,matched
038873,PROSECCO TREVIGIAN,,211,75cl Trevigiana Prosecco Rose,,1.0,left_to_right,matched
038871,PROSECCO TREVIGIAN BOT,,211,75cl Trevigiana Prosecco Rose,,1.0,left_to_right,matched
077993,RED BULL,,304,Redbull 250ml Can,,1.0,left_to_right,matched
012772,RED DOOR GIN FOC,,281,Red Door Gin,,1.0,left_to_right,matched
035321,RIOJA CHOZA BOT,,205,Choza Rioja Crianza 750ml Bottle,,0.9,left_to_right,matched
012807,RUGBY GIN FOC,,282,Rugby Gin,,1.0,left_to_right,matched
095751,SALTED NUTS KP 50G DOZ,,83,KP Nuts Salted,,1.0,left_to_right,matched
019513,SAMBUCA ANTICA,,79,Sambuca Antica,,1.0,left_to_right,matched
048501,SAN MIGUEL GAL,,5,San Miguel,,1.0,left_to_right,matched
036551,SAUV BLNC INVINIT BOT,,111,Inviniti Sauvignon Blanc,,0.9,left_to_right,matched
036571,SAUV BLNC OUDE KAAP BOT,,207,Oude Kaap Sauvignon Blanc 750ml Bottle,,1.0,left_to_right,matched
036591,SAUV BLNC SANTIAGO BOT,,111,Inviniti Sauvignon Blanc,,0.9,left_to_right,matched
099713,SCAMPI FRIES DOZ,,288,Smith's Scampi Fries,,0.91,left_to_right,matched
036851,SHIRAZ BROOKFORD BOT,,114,Brookford Shiraz Cabernet ,,0.9,left_to_right,matched
019835,SMIRNOFF PEACH,,307,Smirnoff Miami Peach Vodka 70cl,,0.9,left_to_right,matched
016801,SMIRNOFF RED,,57,Smirnoff Red Label Vodka,,0.9,left_to_right,matched
099351,SNICKERS DOZ,,259,Snickers,,1.0,left_to_right,matched
015501,SOUTHERN COMFORT,,58,Southern Comfort,,1.0,left_to_right,matched
075701,SPRINGBOURNE WATER,,223,Springbourne Water,,1.0,left_to_right,matched
014841,TALISKER,,59,Talisker Malt Whisky 10YO,,1.0,left_to_right,matched
019697,TEQ DEAD MAN RASP,,186,Dead Man Fingers Blue Raspberry Rum,,0.9,left_to_right,matched
019785,TEQ PATRON SILVER,,298,Patron Silver Tequilla ,,1.0,left_to_right,matched
019793,TEQ ROSE,,187,Tequilla Rose,,1.0,left_to_right,matched
010891,THREE BARRELS,,263,Three Barrels,,1.0,left_to_right,matched
012931,W/NEIL APRICOT PINK,,168,Whitley Neill Pink Apricot Gin,,1.0,left_to_right,matched
012950,W/NEIL B/ORANGE,,171,Whitley Neill Blood Orange Gin,,1.0,left_to_right,matched
012949,W/NEIL BLK CHERRY,,170,Whitley Neill Black Cherry Gin,,1.0,left_to_right,matched
012953,W/NEIL GOOSEBERRY,,172,Whitley Neill Gooseberry Gin,,1.0,left_to_right,matched
012954,W/NEIL PINEAPPLE,,173,Whitley Neil Pineapple Gin,,1.0,left_to_right,matched
012955,W/NEIL PINK GRAPE,,174,Whitley Neill Pink Grape Gin,,1.0,left_to_right,matched
012957,W/NEIL RASPBERRY,,175,Whitley Neill Raspberry Gin,,1.0,left_to_right,matched
012959,W/NEIL RHUBARB,,176,Whitley Neill Rhubarb Gin,,1.0,left_to_right,matched
012941,WHITNEY NEIL GIN,,63,Whitley Neill Gin,,1.0,left_to_right,matched
013951,WHYTE & MACKAY,,123,Whyte & Mackay Whisky,,1.0,left_to_right,matched
019832,WRAY & NEPHEW RUM,,305,Wray & Nephew 70cl Bottle,,1.0,left_to_right,matched
037851,ZINF HILMASPRINGS BOT,,106,Hilmar Springs White Zinfandel 750ml Bottle,,0.9,left_to_right,matched
