Group,Name,Code,Price,Pack,QuantityPerPack,WeightPerItem,Unit,Page
CONDIMENTS & SAUCES,Tomato Chutney,4411,9.78,1.3kg,1,1.3,kg,1
CONDIMENTS & SAUCES,Tomato Sauce Sachets,4496,8.14,200x10g,200,10.0,g,1
CONDIMENTS & SAUCES,American Style Mustard,4766,13.65,2.97kg,1,2.97,kg,1
CONDIMENTS & SAUCES,Burger Sauce,36961,3.0,1ltr,1,1.0,ltr,1
CONDIMENTS & SAUCES,Piccalilli,6545,10.95,2.25kg,1,2.25,kg,1
CONDIMENTS & SAUCES,Pizza Sauce,9078,7.16,3kg,1,3.0,kg,1
CONDIMENTS & SAUCES,Salad Cream,7598,7.24,2.27 ltr,1,2.27,ltr,1
CONDIMENTS & SAUCES,Tahini Paste,4448,13.29,1KG,1,1.0,KG,2
CONDIMENTS & SAUCES,Arrabbiatta Sauce,1365,9.41,2kg,1,2.0,kg,2
CONDIMENTS & SAUCES,Cajun & tomato Dressing (Sauce),5001,12.73,2.27kg,1,2.27,kg,2
CONDIMENTS & SAUCES,French Mustard,1794,12.4,2.27Ltr,1,2.27,Ltr,2
CONDIMENTS & SAUCES,Hendsersons Relish,4441,2.53,284ml,1,284.0,ml,2
CONDIMENTS & SAUCES,Hot Chilli Sauce,4013,7.9,2.27lt,1,2.27,lt,2
CONDIMENTS & SAUCES,Mustard Dijon,20051,16.8,2.27lt,1,2.27,lt,2
CONDIMENTS & SAUCES,Mustard Powder English,4437,16.76,454g,1,454.0,g,2
CONDIMENTS & SAUCES,Piri Piri Hot Sauce,1837,7.91,2.27ltr,1,2.27,ltr,2
CONDIMENTS & SAUCES,Salad Cream Sachets,9845,8.52,200x10G,200,10.0,G,2
CONDIMENTS & SAUCES,Smokehouse Chutney,6451,10.5,1kg,1,1.0,kg,2
CONDIMENTS & SAUCES,Tartare Sauce Sachets,5711,12.95,1x200g,1,200.0,g,2
CONDIMENTS & SAUCES,Tiptree Blackcurrant Jam,525,26.4,72x28g,72,28.0,g,2
CONDIMENTS & SAUCES,Tiptree Fine Cut Marmalade,530,26.5,72x28g,72,28.0,g,2
CONDIMENTS & SAUCES,Tiptree Pure Clear Honey,531,40.8,72x28g,72,28.0,g,2
"OILS, VINEGARS & COOKING WINE, 0ILS & FATS",Vegetable Oil,4660,32.84,20ltr,1,20.0,ltr,1
"OILS, VINEGARS & COOKING WINE, 0ILS & FATS",Extra Virgin Olive Oil,4666,45.0,5ltr,1,5.0,ltr,1
"OILS, VINEGARS & COOKING WINE, 0ILS & FATS",Blended Pomace,4667,35.45,5ltr,1,5.0,ltr,1
"OILS, VINEGARS & COOKING WINE, 0ILS & FATS",Duck Fat,4461,12.95,1kg,1,1.0,kg,1
"OILS, VINEGARS & COOKING WINE, 0ILS & FATS",Walnut Oil,8035,7.87,500ml,1,500.0,ml,1
"OILS, VINEGARS & COOKING WINE, 0ILS & FATS",Whirl (Vegan Butter Alternative,4767,18.25,4ltr,1,4.0,ltr,1
"OILS, VINEGARS & COOKING WINE, COOKING WINE",Cooking Wine Red,4457,6.25,3ltr,1,3.0,ltr,1
"OILS, VINEGARS & COOKING WINE, COOKING WINE",Cooking Wine White,4458,6.25,3ltr,1,3.0,ltr,1
"OILS, VINEGARS & COOKING WINE, COOKING WINE",Cooking Port,4475,18.44,3ltr,1,3.0,ltr,1
"OILS, VINEGARS & COOKING WINE, COOKING WINE",Cooking Brandy (ABV 5%),4505,22.92,3ltr,1,3.0,ltr,1
"OILS, VINEGARS & COOKING WINE, VINEGARS",Balsamic Glaze,4451,5.99,500ml,1,500.0,ml,1
"OILS, VINEGARS & COOKING WINE, VINEGARS",Vinegar - White Wine,4454,6.12,5ltr,1,5.0,ltr,1
"OILS, VINEGARS & COOKING WINE, VINEGARS",Vinegar - Balsamic,4455,14.03,5 ltr,1,5.0,ltr,1
"OILS, VINEGARS & COOKING WINE, VINEGARS",Vinegar Malt,4456,4.95,5ltr,1,5.0,ltr,1
"OILS, VINEGARS & COOKING WINE, VINEGARS",Vinegar - Red Wine,4462,6.12,5ltr,1,5.0,ltr,1
"OILS, VINEGARS & COOKING WINE, VINEGARS",Vinegar - Cider,4497,9.95,5ltr,1,5.0,ltr,1
"OILS, VINEGARS & COOKING WINE, VINEGARS",Distilled Malt Vinegar white,4489,4.17,5ltr,1,5.0,ltr,1
"OILS, VINEGARS & COOKING WINE, VINEGARS",Vinegar Sachets (Mallt),5717,5.95,1x200,200,,,1
"OILS, VINEGARS & COOKING WINE, VINEGARS",Vinegar - Sarsons (case only),4463,28.95,12x300ml,12,300.0,ml,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Garnishing Oil - Basil,6874,7.4,200ml,1,200.0,ml,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Truffle Oil,4460,9.91,250ml,1,250.0,ml,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Garnishing Oil - Lemon,6873,7.95,250ml,1,250.0,ml,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Garnishing Oil Chive,146,9.87,200ml,1,200.0,ml,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Garnishing Oil - Coriander,6876,7.95,250ml,1,250.0,ml,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Garnishing - Chilli Oil,6898,7.4,200ml,1,200.0,ml,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Garnishing Oil Dill,6879,9.85,250ml,1,250.0,ml,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Garnishing Oil Mint,6880,6.99,250ml,1,250.0,ml,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Garnishing Oil - Rosemary,8036,7.95,250ML,1,250.0,ML,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Garnishing Oil - Thyme,8034,7.95,250ml,1,250.0,ml,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Garnishing Oil Tarragon,6881,6.56,250ml,1,250.0,ml,1
"OILS, VINEGARS & COOKING WINE, GARNISHING OILS",Garnishing Oil Watercress,19786,7.36,200ml,1,200.0,ml,1
PROVISIONS,Sage & Onion Stuffing,4640,10.95,3kg,1,3.0,kg,1
PROVISIONS,Garlic Puree,4492,4.2,1kg,1,1.0,kg,1
PROVISIONS,Breadcrumbs - White,4639,8.32,3kg,1,3.0,kg,1
PROVISIONS,Quince Jelly (Paste Gourmet),5713,14.95,800g,1,800.0,g,1
PROVISIONS,Oats,4485,4.74,3kg,1,3.0,kg,1
PROVISIONS,Vegan Aerosol Cream,37001,2.46,200ml,1,200.0,ml,1
PROVISIONS,Tomato Passata,4356,3.5,1kg,1,1.0,kg,1
PROVISIONS,Cheese & Onion Crisps,5710,0.77,40g,1,40.0,g,1
PROVISIONS,Marrowfat Peas ( Dried),4449,7.25,3kg,1,3.0,kg,1
PROVISIONS,Salt & Vinegar Crisps,5709,0.77,40g,1,40.0,g,1
PROVISIONS,Sea Salt Crisps,5708,0.77,40g,1,40.0,g,1
PROVISIONS,Tyrrell's Vegetable Crisp,18365,16.75,600g,1,600.0,g,1
CHOCOLATE & PATISSERIE,After Dinner Mints,1698,16.87,1kg,1,1.0,kg,1
CHOCOLATE & PATISSERIE,Strawberry Grit (Freeze Dried),4765,9.95,75g,1,75.0,g,1
CHOCOLATE & PATISSERIE,Baking Powder,4602,4.68,800g,1,800.0,g,1
CHOCOLATE & PATISSERIE,Chocolate Callets Dark 70%,4848,57.0,2.5kg,1,2.5,kg,1
CHOCOLATE & PATISSERIE,Vanilla Essence,4780,6.8,500ml,1,500.0,ml,1
CHOCOLATE & PATISSERIE,Pastry Fresh Puff,9997,35.99,4.25kg,1,4.25,kg,1
CHOCOLATE & PATISSERIE,Pidy - Quiche Pastry Case,4786,39.65,8.5cmx72,72,8.5,cm,1
CHOCOLATE & PATISSERIE,Vanilla Paste,4796,6.45,65g,1,65.0,g,1
CHOCOLATE & PATISSERIE,Bicarbonate of Soda,4807,3.25,1kg,1,1.0,kg,1
CHOCOLATE & PATISSERIE,Chocolate Callets Milk 33.6%,4828,45.0,2.5kg,1,2.5,kg,1
CHOCOLATE & PATISSERIE,Raspberry Grit (Freeze Dried),1397,19.46,150g,1,150.0,g,1
CHOCOLATE & PATISSERIE,Savoiardi (Sponge Fingers),4865,3.91,500g,1,500.0,g,1
CHOCOLATE & PATISSERIE,Chocolate Callets White 28%,4802,58.95,2.5kg,1,2.5,kg,1
CHOCOLATE & PATISSERIE,Glace Cherry,4923,8.16,,,,,1
CHOCOLATE & PATISSERIE,Meringue Nests,4812,22.59,"3""x72s",72,3.0,in,1
CHOCOLATE & PATISSERIE,Coco Powder,4867,21.95,500g,1,500.0,g,1
CHOCOLATE & PATISSERIE,Freeze Dried Strawberry,9397,7.48,35g,1,35.0,g,1
CHOCOLATE & PATISSERIE,Pastry Fresh Short Crust,4976,35.0,4.25kg,1,4.25,kg,1
CHOCOLATE & PATISSERIE,Savoury Pastry Tartlet,9837,41.98,11cm x 72,72,11.0,cm,1
CHOCOLATE & PATISSERIE,Amaretti Biscuits,4866,4.17,500g,1,500.0,g,1
CHOCOLATE & PATISSERIE,Bakespray Releasing Agent,4889,4.51,500ml,1,500.0,ml,1
CHOCOLATE & PATISSERIE,Glucose Syrup,4675,11.95,1 kg,1,1.0,kg,1
CHOCOLATE & PATISSERIE,Griottines (15%) Cherries in Kirsch,4857,19.95,1ltr,1,1.0,ltr,1
CHOCOLATE & PATISSERIE,Chocolate Callets Plain 54.5% (811),4801,45.0,2.5kg,1,2.5,kg,1
CHOCOLATE & PATISSERIE,Santander 65% Dark Choc,4803,35.0,2.5kg,1,2.5,kg,1
CHOCOLATE & PATISSERIE,Tart Cases Sweet,4797,55.25,11cmx72,72,11.0,cm,1
CHOCOLATE & PATISSERIE,Atora Beef Suet,1438,28.6,2kg,1,2.0,kg,1
CHOCOLATE & PATISSERIE,Bronze Leaf Gelitine,4888,26.35,1kg,1,1.0,kg,1
CHOCOLATE & PATISSERIE,Cocoa Nibs,4859,13.65,800g,1,800.0,g,1
CHOCOLATE & PATISSERIE,Feuille De brick (Pastry),7886,1.4,1x170g,1,170.0,g,1
CHOCOLATE & PATISSERIE,Milk Powder,4795,14.29,2kg,1,2.0,kg,1
CHOCOLATE & PATISSERIE,Pidy Profiterole 4cm,70007,12.96,1x75,75,,,1
CHOCOLATE & PATISSERIE,Pidy - Amusettes (Spoons),70001,29.0,1x84,84,,,1
CHOCOLATE & PATISSERIE,Pidy - Gluten Free Tart 8.5cm,70003,33.82,1x27,27,,,1
CHOCOLATE & PATISSERIE,Pidy - Mini Sweet Cones (6cm),70002,24.72,1x112,112,,,1
CHOCOLATE & PATISSERIE,Pidy - Quiche Cup 11cm,70004,53.28,1x42,42,,,1
CHOCOLATE & PATISSERIE,Pidy - Spicy Canape Assort,70005,22.08,1x96,96,,,1
CHOCOLATE & PATISSERIE,Pidy - Trendy Mini Round,70006,33.55,1x96,96,,,1
CHOCOLATE & PATISSERIE,Pidy - Zakouski,70008,22.71,1x96,96,,,1
CHOCOLATE & PATISSERIE,Vanilla Seeds,4799,32.3,100g,1,100.0,g,1
"HERBS & SPICES, SPICES",Saffron Strands Pure Red 1g,4648,2.38,1g,1,1.0,g,1
"HERBS & SPICES, SPICES",Paprika,4914,5.1,550g,1,550.0,g,1
"HERBS & SPICES, SPICES",Curry Powder,4548,6.38,500g,1,500.0,g,1
"HERBS & SPICES, SPICES",Cajun ( Blackened)Seasoning,4704,5.25,600g,1,600.0,g,1
"HERBS & SPICES, SPICES",Crushed Chilli Flakes,4912,7.65,300g,1,300.0,g,1
"HERBS & SPICES, SPICES",Ground Cinnamon,1935,6.68,430g,1,430.0,g,1
"HERBS & SPICES, SPICES",Ground Cumin,4580,8.75,400g,1,400.0,g,1
"HERBS & SPICES, SPICES",Onion Powder,4536,6.63,500g,1,500.0,g,1
"HERBS & SPICES, SPICES",Paprika Smoked,1967,4.26,450g,1,450.0,g,1
"HERBS & SPICES, SPICES",Cardamom Pods Green,1592,3.85,50g,1,50.0,g,1
"HERBS & SPICES, SPICES",Cinnamon Sticks,1936,5.23,150g,1,150.0,g,1
"HERBS & SPICES, SPICES",Garlic Powder,4868,9.86,500g,1,500.0,g,1
"HERBS & SPICES, SPICES",Juniper Berries,4545,8.95,200g,1,200.0,g,1
"HERBS & SPICES, SPICES",Piri - Piri Seasoning,361,4.72,200g,1,200.0,g,1
"HERBS & SPICES, SPICES",Star Anise,8029,7.25,130g,1,130.0,g,1
"HERBS & SPICES, SPICES",Stem Ginger,1783,9.02,560g,1,560.0,g,1
"HERBS & SPICES, SPICES",Turmeric,4915,3.45,300g,1,300.0,g,1
"HERBS & SPICES, SPICES",Chinese five Spice,4703,7.95,405g,1,405.0,g,1
"HERBS & SPICES, SPICES",Cloves Whole,1295,10.72,350g,1,350.0,g,1
"HERBS & SPICES, SPICES",Garam Masala,1839,4.49,450g,1,450.0,g,1
"HERBS & SPICES, SPICES",Ground Coriander,4645,7.58,400g,1,400.0,g,1
"HERBS & SPICES, SPICES",Sumac 250g,4869,6.9,250g,1,250.0,g,1
"HERBS & SPICES, SPICES",Chilli Powder,4916,5.27,400g,1,400.0,g,1
"HERBS & SPICES, SPICES",Allspice Ground,18467,10.04,250g,1,250.0,g,1
"HERBS & SPICES, SPICES",Fajita Seasoning,8027,5.99,504g,1,504.0,g,1
"HERBS & SPICES, SPICES",Fenugreek Leaves (Kasuri),9274,1.07,100g,1,100.0,g,1
"HERBS & SPICES, SPICES",Nutmeg Ground,4567,12.95,500g,1,500.0,g,1
"HERBS & SPICES, SPICES",Ras El Hanout,9749,5.29,250g,1,250.0,g,1
"HERBS & SPICES, SPICES",Smokey BBQ Seasoning,15897,6.25,300g,1,300.0,g,1
"HERBS & SPICES, SALT",Maldon Sea Salt,4544,18.87,1.4kg,1,1.4,kg,1
"HERBS & SPICES, SALT",Table Salt,4540,8.75,6kg,1,6.0,kg,1
"HERBS & SPICES, SALT",Natural Rock Salt,4598,1.6,500g,1,500.0,g,1
"HERBS & SPICES, SALT",Salt - Celery,378,5.83,1.3kg,1,1.3,kg,1
"HERBS & SPICES, SALT",Salt Pink,4542,9.25,800g,1,800.0,g,1
"HERBS & SPICES, SALT",Salt Sachets,45400,7.06,1 x2000,2000,,,1
"HERBS & SPICES, SALT",Salt & Pepper Seasoning,15901,23.85,2.5kg,1,2.5,kg,1
"HERBS & SPICES, PEPPER",Ground Black Pepper,4775,6.5,500g,1,500.0,g,1
"HERBS & SPICES, PEPPER",Pepper Cracked Black 450g,4705,9.33,450g,1,450.0,g,1
"HERBS & SPICES, PEPPER",Green Peppercorns in Brine,5764,10.48,850g,1,850.0,g,1
"HERBS & SPICES, PEPPER",Peppercorns Pink,1968,8.87,250g,1,250.0,g,1
"HERBS & SPICES, PEPPER",Peppercorns Black,1937,7.12,600g,1,600.0,g,1
"HERBS & SPICES, PEPPER",Ground White Peppers,4541,10.25,550g,1,550.0,g,1
"HERBS & SPICES, PEPPER",Pepper Sachets 2000s,45410,12.04,2000s,1,2000.0,s,1
"HERBS & SPICES, DRIED HERBS",Oregano Dried,4579,6.05,150g,1,150.0,g,1
"HERBS & SPICES, DRIED HERBS",Dried Chive Flakes,4546,4.25,35g,1,35.0,g,1
"HERBS & SPICES, DRIED HERBS",Dried Thyme,631,3.96,180g,1,180.0,g,1
"HERBS & SPICES, DRIED HERBS",Rosemary Dried,4919,4.5,200g,1,200.0,g,1
"HERBS & SPICES, DRIED HERBS",Dried Tarragon,1805,4.92,80g,1,80.0,g,1
"HERBS & SPICES, DRIED HERBS",Basil Dried,4562,4.5,150g,1,150.0,g,1
"HERBS & SPICES, DRIED HERBS",Mint Dried,20093,4.45,140g,1,140.0,g,1
"HERBS & SPICES, DRIED HERBS",Dried Mixed Herbs,9294,2.58,150g,1,150.0,g,1
"HERBS & SPICES, DRIED HERBS",Parsley Dried,4918,3.74,100g,1,100.0,g,1
"HERBS & SPICES, SEEDS",Fennel Seed,9345,1.43,100g,1,100.0,g,1
"HERBS & SPICES, SEEDS",Nigella ( BlackOnionSeed),4593,5.86,250g,1,250.0,g,1
"HERBS & SPICES, SEEDS",Sesame Seeds,4616,6.25,250g,1,250.0,g,1
"HERBS & SPICES, SEEDS",Black Sesame Seeds,8039,5.6,250g,1,250.0,g,1
"HERBS & SPICES, SEEDS",Cumin Seeds,9472,6.13,400g,1,400.0,g,1
"HERBS & SPICES, SEEDS",Fenugreek seed,8033,2.6,400g,1,400.0,g,1
"HERBS & SPICES, SEEDS",Mustard Seed Brown,310,4.29,250g,1,250.0,g,1
"HERBS & SPICES, SEEDS",Mustard Seeds (Yellow),408,4.65,250g,1,250.0,g,1
"HERBS & SPICES, SEEDS",Coriander seed,632,3.05,400g,1,400.0,g,1
"HERBS & SPICES, SEEDS",Caraway Seeds (Ajwain),4978,4.29,300g,1,300.0,g,1
"HERBS & SPICES, SEEDS",Poppy Seeds (Blue),370,4.72,250g,1,250.0,g,1
DRIED FRUITS & NUTS,Dried Figs,4874,11.95,1kg,1,1.0,kg,1
DRIED FRUITS & NUTS,Almonds Flaked,9995,12.95,1kg,1,1.0,kg,1
DRIED FRUITS & NUTS,Dried Apricots,4805,24.95,2kg,1,2.0,kg,1
DRIED FRUITS & NUTS,Pistachio Nuts,1807,30.37,700g,1,700.0,g,1
DRIED FRUITS & NUTS,Almonds Ground,9996,11.48,1kg,1,1.0,kg,1
DRIED FRUITS & NUTS,Hazel Nuts,49670,14.95,1kg,1,1.0,kg,1
DRIED FRUITS & NUTS,Sultanas,4878,15.0,3kg,1,3.0,kg,1
DRIED FRUITS & NUTS,Walnuts,9738,9.67,1kg,1,1.0,kg,1
DRIED FRUITS & NUTS,Pine Nuts,4975,32.95,1kg,1,1.0,kg,1
DRIED FRUITS & NUTS,Pitted Dates,4879,10.95,3kg,1,3.0,kg,1
DRIED FRUITS & NUTS,Cashew Nuts,4880,13.18,700g,1,700.0,g,1
DRIED FRUITS & NUTS,Dates Chopped,4706,11.25,3kg,1,3.0,kg,1
DRIED FRUITS & NUTS,Dried Cranberries,4873,8.95,1kg,1,1.0,kg,1
DRIED FRUITS & NUTS,Peanuts Blanched,4881,5.53,1kg,1,1.0,kg,1
DRIED FRUITS & NUTS,Pecan Nuts,4974,18.82,1kg,1,1.0,kg,1
DRIED FRUITS & NUTS,Raisins,4875,15.95,3kg,1,3.0,kg,1
DRIED FRUITS & NUTS,Banana Chips,4968,8.5,1kg,1,1.0,kg,1
DRIED FRUITS & NUTS,Coconut Desicated,4849,7.65,1kg,1,1.0,kg,1
DRIED FRUITS & NUTS,Golden Raisins,4876,6.38,1kg,1,1.0,kg,1
GRIANS & PULSES,Semolina,4759,8.5,3kg,1,3.0,kg,1
GRIANS & PULSES,Pumpkin Seeds,4921,7.48,1kg,1,1.0,kg,1
GRIANS & PULSES,Lentils Red,4991,9.5,3kg,1,3.0,kg,1
