id,name,RightVolumeML,Code,Product,LeftVolumeML,Score,Rank
35,Courvoisier VS,,010161,COURVOISIER VS,,1.0,1
8,Crabbies Ginger Beer,,029121,CRABBIES GINGER,,1.0,1
157,Pipers Crisps - Cider & Vinegar,,090601,CRISPS PIPERS 40G TEN,,0.9,1
248,Crunchie,,098271,CRUNCHIE DOZ,,1.0,1
284,De Kuyper Blue Curacao,,019836,CURACAO BLUE DKY,,1.0,1
87,Dairy Milk Duo,,098276,DAIRY MILK 45G DOZ,,0.9,1
88,Dairy Milk Bar,,098276,DAIRY MILK 45G DOZ,,0.9,1
249,Dairy Milk 45g,,098276,DAIRY MILK 45G DOZ,,1.0,1
37,Drambuie,,018501,DRAMBUIE,,1.0,1
246,KP Dry Roasted,,094421,DRY ROAST KP 50G DOZ,,0.9,1
141,Estrella Galicia 0%,,047446,ESTRELLA 0% GAL,,0.9,1
219,Fever Tree Aromatic,,071521,F/TREE AROMATIC,,1.0,1
220,Fever Tree Ginger Ale,,071551,F/TREE GINGER ALE,,1.0,1
151,Fever Tree Tonic Light,,071595,F/TREE LIGHT TONIC,,1.0,2
151,Fever Tree Tonic Light,,071581,F/TREE TONIC,,1.0,1
152,Fever Tree Tonic Water,,071581,F/TREE TONIC,,1.0,1
38,The Famous Grouse Scotch Whisky,,013271,FAMOUS GROUSE,,0.9,1
277,Four Pillars Gin,,012306,FOUR PILLARS GIN,,1.0,1
17,Fruit Shoot Orange,,071611,FRUIT SHOOTS,,0.9,1
268,Ginger Beer Post Mix,,076321,GINGER BEER 5-1 LTR,,1.0,1
178,Glen Scotia,,014371,GLEN SCOTIA,,1.0,1
39,Glenmorangie Malt Whisky 12YO,,014431,GLENMORANGIE 10YR,,1.0,1
41,Gordons Special Dry,,012351,GORDONS,,1.0,1
159,Gordons Gin 0%,,012341,GORDONS 0%,,1.0,1
164,Gordons Cherry Gin,,012353,GORDONS CHERRY,,1.0,1
166,Gordons Lemon Gin,,012357,GORDONS LEMON,,1.0,1
165,Gordons Med Orange Gin,,012355,GORDONS MED ORANGE,,1.0,1
167,Gordons White Peach Gin,,012359,GORDONS PEACH,,0.9,1
40,Gordons Pink Gin,,012361,GORDONS PINK,,1.0,1
283,Grey Goose Vodka,,019834,GREY GOOSE VODKA,,1.0,1
4,Guinness,,046321,GUINNESS GAL,,1.0,1
101,Guinness 0.0% 538ml Can,,052336,GUINNESS O% CANS,,0.9,1
294,Guinness 0.0% 440ml Can,,052336,GUINNESS O% CANS,,0.9,1
43,Haig Club,,014455,HAIG CLUBMAN,,0.9,1
251,Haribo Supamix,,098566,HARIBO SUPERMIX DOZ,,1.0,1
252,Haribo Tangfastic,,098571,HARIBO TANGFASTIC DOZ,,1.0,1
45,Jack Daniels Tennessee,,015341,JACK DANIELS,,0.9,1
46,Jagermeister,,018841,JAGERMEISTER,,1.0,1
48,Jim Beam,,015361,JIM BEAM WHITE,,0.9,1
182,Kahlua,,018861,KAHLUA,,1.0,1
10,Koppaberg Mixed Fruit 500ml Bottle,,064851,KOPPABERG M/FRUIT,,1.0,1
270,Koppaberg Mixed Fruit 0.0% 500ml Bottle,,064851,KOPPABERG M/FRUIT,,1.0,1
269,Koppaberg Strawberry & Lime 0.0% 500ml Bottle,,064891,KOPPABERG S/L 0%,,1.0,2
149,Koppaberg Strawberry & Lime 500ml Bottle,,064881,KOPPABERG ST/LIME,,1.0,1
269,Koppaberg Strawberry & Lime 0.0% 500ml Bottle,,064881,KOPPABERG ST/LIME,,1.0,1
160,Kraken Spiced Rum,,011551,KRAKEN,,1.0,1
162,Kraken Cherry Rum,,011556,KRAKEN CHERRY,,1.0,1
163,Kraken Roast Coffee Rum,,011559,KRAKEN COFFEE,,0.9,1
138,Level Head,,042771,LEVEL HEAD 30L GAL,,1.0,1
136,Madri,,048061,MADRI GAL,,1.0,1
115,Despacito Malbec 750ml Bottle,,034221,MALBEC DESPACITO BOT,,1.0,1
117,Hermandad Malbec 750ml Bottle,,034321,MALBEC HERMANDAD BOT,,1.0,1
51,Martini Rosso,,021540,MARTINI RED,,1.0,1
113,Casa Merlot  LCL,,034531,MERLOT CASA SANTI BOT,,0.9,1
197,Casa Santiago Merlot 750ml Bottle,,034531,MERLOT CASA SANTI BOT,,0.9,1
264,Nelsons Gin,,012621,NELSONS GIN,,1.0,2
264,Nelsons Gin,,011601,NELSONS RUM,,1.0,1
120,Niepoort Port,,023761,NIEPOORT RUBY PORT,,0.9,1
150,Old Mout Kiwi & Lime 500ml Bottle,,065371,OLD MOUT KIWI,,0.9,1
144,Orange Juice Post Mix,,076621,ORANGE JUICE 4-1 LTR,,1.0,1
107,Cantina Trevigiana Pinot Grigio Blush 750ml Bottle,,034671,P/GRIGIO TREV ROSE BOT,,0.9,2
108,Cantina Trevigiana Pinot Grigio 750ml Bottle,,034671,P/GRIGIO TREV ROSE BOT,,0.9,2
200,Pino Grigio Trevigiana  DOC,,034671,P/GRIGIO TREV ROSE BOT,,0.9,2
201,Pino Grigio Blush Trevigiana,,034671,P/GRIGIO TREV ROSE BOT,,0.9,2
107,Cantina Trevigiana Pinot Grigio Blush 750ml Bottle,,034661,P/GRIGIO TREVIGIAN BOT,,0.9,1
108,Cantina Trevigiana Pinot Grigio 750ml Bottle,,034661,P/GRIGIO TREVIGIAN BOT,,0.9,1
200,Pino Grigio Trevigiana  DOC,,034661,P/GRIGIO TREVIGIAN BOT,,0.9,1
201,Pino Grigio Blush Trevigiana,,034661,P/GRIGIO TREVIGIAN BOT,,0.9,1
202,Arte Noble Reserve Pino Noir 75cl Bottle,,034811,P/NOIR ARTE NOBLE BOT,,0.9,1
203,Pino Noir Bourgogne,,034821,P/NOIR BOURG BOT,,0.9,1
204,Rochebin Pinot Noir 750ml Bottle,,034821,P/NOIR BOURG BOT,,0.9,1
20,Pepsi Max Can,,076701,PEPSI MAX 5-1 LTR,,1.0,1
95,Pepsi Max Post Mix,,076701,PEPSI MAX 5-1 LTR,,1.0,1
303,Pepsi Max 500ml Bottle,,076701,PEPSI MAX 5-1 LTR,,1.0,1
20,Pepsi Max Can,,077681,PEPSI MAX CN,,1.0,2
95,Pepsi Max Post Mix,,077681,PEPSI MAX CN,,1.0,2
303,Pepsi Max 500ml Bottle,,077681,PEPSI MAX CN,,1.0,2
148,Peroni Nastro Azzuro 0.0% 330ml Bottle,,055061,PERONI N/AZZURO,,1.0,1
215,Peroni Nastro Azzuro 330ml Bottle,,055061,PERONI N/AZZURO,,1.0,1
52,Pimms No 1,,017651,PIMMS NO1,,1.0,1
290,Midlands Pork Scratchings,,099712,PORK SCRATCHINGS DOZ,,0.9,1
211,75cl Trevigiana Prosecco Rose,,038881,PROSECCO TREV ROSE BOT,,1.0,3
211,75cl Trevigiana Prosecco Rose,,038873,PROSECCO TREVIGIAN,,1.0,2
211,75cl Trevigiana Prosecco Rose,,038871,PROSECCO TREVIGIAN BOT,,1.0,1
304,Redbull 250ml Can,,077993,RED BULL,,1.0,1
281,Red Door Gin,,012772,RED DOOR GIN FOC,,1.0,1
205,Choza Rioja Crianza 750ml Bottle,,035321,RIOJA CHOZA BOT,,0.9,1
282,Rugby Gin,,012807,RUGBY GIN FOC,,1.0,1
83,KP Nuts Salted,,095751,SALTED NUTS KP 50G DOZ,,1.0,1
79,Sambuca Antica,,019513,SAMBUCA ANTICA,,1.0,1
5,San Miguel,,048501,SAN MIGUEL GAL,,1.0,1
111,Inviniti Sauvignon Blanc,,036551,SAUV BLNC INVINIT BOT,,0.9,1
206,Aotearoa Sauvignon Blanc 750ml Bottle,,036551,SAUV BLNC INVINIT BOT,,0.9,1
207,Oude Kaap Sauvignon Blanc 750ml Bottle,,036571,SAUV BLNC OUDE KAAP BOT,,1.0,1
194,Oude Kaap Chenin Blanc 750ml Bottle,,036571,SAUV BLNC OUDE KAAP BOT,,0.9,2
208,Casa Santiago Sauvignon Blanc 750ml Bottle,,036591,SAUV BLNC SANTIAGO BOT,,0.9,1
111,Inviniti Sauvignon Blanc,,036591,SAUV BLNC SANTIAGO BOT,,0.9,2
206,Aotearoa Sauvignon Blanc 750ml Bottle,,036591,SAUV BLNC SANTIAGO BOT,,0.9,2
288,Smith's Scampi Fries,,099713,SCAMPI FRIES DOZ,,0.91,2
289,Smith's Bacon Fries,,099713,SCAMPI FRIES DOZ,,0.91,2
114,Brookford Shiraz Cabernet ,,036851,SHIRAZ BROOKFORD BOT,,0.9,2
307,Smirnoff Miami Peach Vodka 70cl,,019835,SMIRNOFF PEACH,,0.9,1
57,Smirnoff Red Label Vodka,,016801,SMIRNOFF RED,,0.9,1
259,Snickers,,099351,SNICKERS DOZ,,1.0,1
58,Southern Comfort,,015501,SOUTHERN COMFORT,,1.0,1
223,Springbourne Water,,075701,SPRINGBOURNE WATER,,1.0,1
59,Talisker Malt Whisky 10YO,,014841,TALISKER,,1.0,1
186,Dead Man Fingers Blue Raspberry Rum,,019697,TEQ DEAD MAN RASP,,0.9,1
262,Patron Reposado Tequilla ,,019785,TEQ PATRON SILVER,,0.9,1
298,Patron Silver Tequilla ,,019785,TEQ PATRON SILVER,,1.0,1
187,Tequilla Rose,,019793,TEQ ROSE,,1.0,1
263,Three Barrels,,010891,THREE BARRELS,,1.0,1
168,Whitley Neill Pink Apricot Gin,,012931,W/NEIL APRICOT PINK,,1.0,1
171,Whitley Neill Blood Orange Gin,,012950,W/NEIL B/ORANGE,,1.0,1
170,Whitley Neill Black Cherry Gin,,012949,W/NEIL BLK CHERRY,,1.0,1
172,Whitley Neill Gooseberry Gin,,012953,W/NEIL GOOSEBERRY,,1.0,1
63,Whitley Neill Gin,,012953,W/NEIL GOOSEBERRY,,0.9,2
169,Whitley Neill DC Gin,,012953,W/NEIL GOOSEBERRY,,0.9,2
173,Whitley Neil Pineapple Gin,,012953,W/NEIL GOOSEBERRY,,0.9,3
175,Whitley Neill Raspberry Gin,,012953,W/NEIL GOOSEBERRY,,0.9,3
173,Whitley Neil Pineapple Gin,,012954,W/NEIL PINEAPPLE,,1.0,1
63,Whitley Neill Gin,,012954,W/NEIL PINEAPPLE,,0.9,3
169,Whitley Neill DC Gin,,012954,W/NEIL PINEAPPLE,,0.9,3
172,Whitley Neill Gooseberry Gin,,012954,W/NEIL PINEAPPLE,,0.9,3
174,Whitley Neill Pink Grape Gin,,012955,W/NEIL PINK GRAPE,,1.0,1
175,Whitley Neill Raspberry Gin,,012957,W/NEIL RASPBERRY,,1.0,1
176,Whitley Neill Rhubarb Gin,,012959,W/NEIL RHUBARB,,1.0,1
63,Whitley Neill Gin,,012941,WHITNEY NEIL GIN,,1.0,1
169,Whitley Neill DC Gin,,012941,WHITNEY NEIL GIN,,0.9,1
172,Whitley Neill Gooseberry Gin,,012941,WHITNEY NEIL GIN,,0.9,2
173,Whitley Neil Pineapple Gin,,012941,WHITNEY NEIL GIN,,0.9,2
175,Whitley Neill Raspberry Gin,,012941,WHITNEY NEIL GIN,,0.9,2
123,Whyte & Mackay Whisky,,013951,WHYTE & MACKAY,,1.0,1
305,Wray & Nephew 70cl Bottle,,019832,WRAY & NEPHEW RUM,,1.0,1
106,Hilmar Springs White Zinfandel 750ml Bottle,,037851,ZINF HILMASPRINGS BOT,,0.9,1
