id,name,RightVolumeML,Code,Product,LeftVolumeML,Score,Method,Status
223,Springbourne Water,,075701,SPRINGBOURNE WATER,,1.0,right_to_left,matched
59,Talisker Malt Whisky 10YO,,014841,TALISKER,,1.0,right_to_left,matched
186,Dead Man Fingers Blue Raspberry Rum,,019697,TEQ DEAD MAN RASP,,0.9,right_to_left,matched
298,Patron Silver Tequilla ,,019785,TEQ PATRON SILVER,,1.0,right_to_left,matched
262,Patron Reposado Tequilla ,,019785,TEQ PATRON SILVER,,0.9,right_to_left,matched
187,Tequilla Rose,,019793,TEQ ROSE,,1.0,right_to_left,matched
263,Three Barrels,,010891,THREE BARRELS,,1.0,right_to_left,matched
168,Whitley Neill Pink Apricot Gin,,012931,W/NEIL APRICOT PINK,,1.0,right_to_left,matched
171,Whitley Neill Blood Orange Gin,,012950,W/NEIL B/ORANGE,,1.0,right_to_left,matched
170,Whitley Neill Black Cherry Gin,,012949,W/NEIL BLK CHERRY,,1.0,right_to_left,matched
172,Whitley Neill Gooseberry Gin,,012953,W/NEIL GOOSEBERRY,,1.0,right_to_left,matched
173,Whitley Neil Pineapple Gin,,012954,W/NEIL PINEAPPLE,,1.0,right_to_left,matched
174,Whitley Neill Pink Grape Gin,,012955,W/NEIL PINK GRAPE,,1.0,right_to_left,matched
175,Whitley Neill Raspberry Gin,,012957,W/NEIL RASPBERRY,,1.0,right_to_left,matched
176,Whitley Neill Rhubarb Gin,,012959,W/NEIL RHUBARB,,1.0,right_to_left,matched
63,Whitley Neill Gin,,012941,WHITNEY NEIL GIN,,1.0,right_to_left,matched
169,Whitley Neill DC Gin,,012941,WHITNEY NEIL GIN,,0.9,right_to_left,matched
123,Whyte & Mackay Whisky,,013951,WHYTE & MACKAY,,1.0,right_to_left,matched
305,Wray & Nephew 70cl Bottle,,019832,WRAY & NEPHEW RUM,,1.0,right_to_left,matched
106,Hilmar Springs White Zinfandel 750ml Bottle,,037851,ZINF HILMASPRINGS BOT,,0.9,right_to_left,matched
