url,match_term,content_type,snippet
https://www.botgc.co.uk/meettheteam,joynes,text/html; charset=UTF-8,in Membership Visitors Course Clubhouse Contact Us Members Hub Contact Us Pages Meet the team Careers Find Us Meet the Management team Phil Joynes Club Manager Contact: clubmanager@botgc.co.uk Vacant Finance/Admin Officer Contact: accounts@botgc.co.uk Leon Dalton Course Manager 43 Ashb
https://www.botgc.co.uk/our_partners,club manager,text/html; charset=UTF-8,"bers and visitors. If you are interested in joining our network and sponsoring a hole then please get in touch by contacting: Phil Joynes - Club Manager email: clubmanager@botgc.co.uk 1st Tee Premium Sponsor Located on Centrum Gate, Ninth Avenue, Burton on Trent, Burton Kia believe in making"
https://www.botgc.co.uk/our_partners,phil joynes,text/html; charset=UTF-8,"ure to our members and visitors. If you are interested in joining our network and sponsoring a hole then please get in touch by contacting: Phil Joynes - Club Manager email: clubmanager@botgc.co.uk 1st Tee Premium Sponsor Located on Centrum Gate, Ninth Avenue, Burton on Trent, Burton Kia be"
https://www.botgc.co.uk/our_partners,phil joyne,text/html; charset=UTF-8,"ure to our members and visitors. If you are interested in joining our network and sponsoring a hole then please get in touch by contacting: Phil Joynes - Club Manager email: clubmanager@botgc.co.uk 1st Tee Premium Sponsor Located on Centrum Gate, Ninth Avenue, Burton on Trent, Burton Kia b"
https://www.botgc.co.uk/our_partners,joynes,text/html; charset=UTF-8,"o our members and visitors. If you are interested in joining our network and sponsoring a hole then please get in touch by contacting: Phil Joynes - Club Manager email: clubmanager@botgc.co.uk 1st Tee Premium Sponsor Located on Centrum Gate, Ninth Avenue, Burton on Trent, Burton Kia be"
https://www.botgc.co.uk/membership,club manager,text/html; charset=UTF-8,"ents. Includes a flexible allocation of playing rights, access to the clubhouse, and branding opportunities at the club. Please contact the Club Manager to discuss tailored packages. Speak to us today If you'd like more information about joining Burton-on-Trent Golf Club or want to speak wit"
https://www.botgc.co.uk/uploads/burtonontrent/File/Safeguarding%20Policy/Burton%20on%20Trent%20Golf%20Club%20EDI%20Policy%20Feb%2024.pdf,club manager,application/pdf,"conduct of someone at a Club event, someone representing the Club, or any other breach of this policy: 5.1 please report the matter to the Club Manager: Phil Joynes- email: clubmanager@botgc.co.uk or to any other member of the Board of Directors giving as much detail as possible. England Go"
https://www.botgc.co.uk/uploads/burtonontrent/File/Safeguarding%20Policy/Burton%20on%20Trent%20Golf%20Club%20EDI%20Policy%20Feb%2024.pdf,phil joynes,application/pdf,"meone at a Club event, someone representing the Club, or any other breach of this policy: 5.1 please report the matter to the Club Manager: Phil Joynes- email: clubmanager@botgc.co.uk or to any other member of the Board of Directors giving as much detail as possible. England Golf – Club Equ"
https://www.botgc.co.uk/uploads/burtonontrent/File/Safeguarding%20Policy/Burton%20on%20Trent%20Golf%20Club%20EDI%20Policy%20Feb%2024.pdf,phil joyne,application/pdf,"meone at a Club event, someone representing the Club, or any other breach of this policy: 5.1 please report the matter to the Club Manager: Phil Joynes- email: clubmanager@botgc.co.uk or to any other member of the Board of Directors giving as much detail as possible. England Golf – Club Eq"
https://www.botgc.co.uk/uploads/burtonontrent/File/Safeguarding%20Policy/Burton%20on%20Trent%20Golf%20Club%20EDI%20Policy%20Feb%2024.pdf,joynes,application/pdf,"at a Club event, someone representing the Club, or any other breach of this policy: 5.1 please report the matter to the Club Manager: Phil Joynes- email: clubmanager@botgc.co.uk or to any other member of the Board of Directors giving as much detail as possible. England Golf – Club Equ"
